実質季節調整系列(前期比),,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:％),,,,
"Real, Seasonally Adjusted Series (Quarter-to-Quarter Percent Change)",,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(%),,,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,純受取,受取,支払,,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,,,Net,Receipt,Payment,,,,,,,,,,,,,
2001/ 1- 3.,0.6 ,0.5 ,0.4 ,0.4 ,0.0 ,0.3 ,***,0.1 ,4.1 ,***,***,-3.6 ,0.2 ,,***,0.6 ,***,2.8 ,1.7 ,0.6 ,,1.0 ,0.9 ,1.4 ,,1.1 ,,0.2 ,,,,
4- 6.,-0.8 ,1.0 ,0.9 ,1.0 ,-5.1 ,-3.0 ,***,0.9 ,-6.0 ,***,***,-3.8 ,-2.2 ,,***,-0.9 ,***,-3.3 ,-4.7 ,-1.0 ,,-0.6 ,-0.3 ,-1.4 ,,-4.1 ,,-0.8 ,,,,
7- 9.,-1.2 ,-0.2 ,-0.2 ,-0.4 ,-0.5 ,-1.5 ,***,0.1 ,0.2 ,***,***,-2.1 ,-2.9 ,,***,-1.2 ,***,-2.4 ,-5.2 ,-1.2 ,,-1.2 ,-1.7 ,0.1 ,,-0.9 ,,-0.3 ,,,,
10-12.,-0.2 ,-0.0 ,-0.0 ,-0.1 ,0.9 ,-3.6 ,***,1.3 ,-2.1 ,***,***,-1.9 ,-3.1 ,,***,-0.0 ,***,0.2 ,-12.2 ,0.1 ,,-0.3 ,-0.5 ,0.4 ,,-2.5 ,,-0.4 ,,,,
2002/ 1- 3.,0.3 ,0.6 ,0.7 ,0.7 ,-1.2 ,-0.4 ,***,0.1 ,0.6 ,***,***,4.6 ,0.9 ,,***,0.2 ,***,-4.5 ,-9.2 ,0.2 ,,-0.1 ,-0.2 ,0.2 ,,-0.3 ,,0.6 ,,,,
4- 6.,0.7 ,0.7 ,0.8 ,0.8 ,0.6 ,-1.4 ,***,0.2 ,-2.4 ,***,***,7.2 ,3.0 ,,***,0.7 ,***,-5.4 ,5.6 ,0.5 ,,0.3 ,0.5 ,-0.5 ,,-1.3 ,,0.5 ,,,,
7- 9.,0.3 ,0.0 ,0.1 ,-0.0 ,-0.1 ,1.3 ,***,0.8 ,-0.3 ,***,***,1.1 ,3.4 ,,***,0.3 ,***,3.1 ,4.6 ,0.3 ,,0.5 ,0.5 ,0.5 ,,0.7 ,,0.1 ,,,,
10-12.,0.2 ,-0.3 ,-0.4 ,-0.5 ,-1.0 ,-0.0 ,***,-0.1 ,-1.2 ,***,***,3.4 ,1.4 ,,***,0.3 ,***,-4.0 ,-2.6 ,0.2 ,,0.0 ,0.2 ,-0.5 ,,-0.5 ,,-0.1 ,,,,
2003/ 1- 3.,-0.1 ,0.1 ,0.1 ,-0.0 ,-0.3 ,-0.4 ,***,0.6 ,-2.3 ,***,***,1.3 ,0.7 ,,***,-0.4 ,***,4.4 ,-5.0 ,-0.3 ,,-0.2 ,-0.2 ,-0.1 ,,-0.8 ,,0.0 ,,,,
4- 6.,0.8 ,0.3 ,0.3 ,0.2 ,0.2 ,1.3 ,***,0.8 ,0.3 ,***,***,0.1 ,-3.2 ,,***,0.9 ,***,-0.2 ,-6.8 ,1.0 ,,0.5 ,0.4 ,0.8 ,,0.9 ,,0.9 ,,,,
