component,period,entity_type,event_type,latest_flag,count,source_scope,identification_status
full_history_monthly,2024-02,corporation,expiration,,808,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-02,corporation,registration,,11001,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-02,individual,cancellation,,1,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-02,individual,expiration,,2351,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-02,individual,registration,,22433,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-02,unincorporated_association,expiration,,7,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-02,unincorporated_association,registration,,50,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-03,corporation,cancellation,,331,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-03,corporation,expiration,,1478,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-03,corporation,registration,,11408,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-03,individual,cancellation,,1,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-03,individual,expiration,,2936,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-03,individual,registration,,21613,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-03,unincorporated_association,expiration,,4,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
