decile,scenario,nuisance_income_scale,pseudo_filer_weighted_mean_MTR,taxable_income_weighted_mean_MTR,income_tax_liability_weighted_mean_MTR,pseudo_positive_modeled_annual_income_tax_share,continuous_proxy_fit_error_kY,exact_statutory_rounding_gap_kY,MTR_status,model_status,input_source_ids,pseudo_filer_share_MTR_0p0,pseudo_filer_share_MTR_0p05,pseudo_filer_share_MTR_0p1,pseudo_filer_share_MTR_0p2,pseudo_filer_share_MTR_0p23,pseudo_filer_share_MTR_0p33,pseudo_filer_share_MTR_0p4,pseudo_filer_share_MTR_0p45
1,central,1.82324222631,0.00538818076477,0.05,0.05,0.107763615295,4.4408920985e-16,-0.00160227431245,continuous-moment-calibrated statutory-bracket diagnostic; not observed filer MTR,SENSITIVITY_ONLY_NOT_IDENTIFIED,ESTAT-7156-1-2024;ESTAT-7191-1-2024;ESTAT-7153-1-2024;NTA-2026-TAX-REFORM;NTA-2026-INCOME-TAX;NTA-SALARY-DEDUCTION-1410;NTA-INCOME-TAX-RATE-2260;NTA-2026-PENSION-TAX;NTA-2026-PENSION-DETAIL;NTA-MINKAN-2024-T17;NTA-2026-DEPENDENT-DEDUCTION;ESTAT-7155-1-2024;STAT-NSFCW-2024-ANNUAL-NONCONSUMPTION-METHOD,0.892236384705,0.107763615295,0,0,0,0,0,0
1,f71911_topcode10,1.81609224903,0.00538818076477,0.05,0.05,0.107763615295,0,-0.0011815414181,continuous-moment-calibrated statutory-bracket diagnostic; not observed filer MTR,SENSITIVITY_ONLY_NOT_IDENTIFIED,ESTAT-7156-1-2024;ESTAT-7191-1-2024;ESTAT-7153-1-2024;NTA-2026-TAX-REFORM;NTA-2026-INCOME-TAX;NTA-SALARY-DEDUCTION-1410;NTA-INCOME-TAX-RATE-2260;NTA-2026-PENSION-TAX;NTA-2026-PENSION-DETAIL;NTA-MINKAN-2024-T17;NTA-2026-DEPENDENT-DEDUCTION;ESTAT-7155-1-2024;STAT-NSFCW-2024-ANNUAL-NONCONSUMPTION-METHOD,0.892236384705,0.107763615295,0,0,0,0,0,0
1,size_lower,1.83042449323,0.00538818076477,0.05,0.05,0.107763615295,0,-0.00205577564674,continuous-moment-calibrated statutory-bracket diagnostic; not observed filer MTR,SENSITIVITY_ONLY_NOT_IDENTIFIED,ESTAT-7156-1-2024;ESTAT-7191-1-2024;ESTAT-7153-1-2024;NTA-2026-TAX-REFORM;NTA-2026-INCOME-TAX;NTA-SALARY-DEDUCTION-1410;NTA-INCOME-TAX-RATE-2260;NTA-2026-PENSION-TAX;NTA-2026-PENSION-DETAIL;NTA-MINKAN-2024-T17;NTA-2026-DEPENDENT-DEDUCTION;ESTAT-7155-1-2024;STAT-NSFCW-2024-ANNUAL-NONCONSUMPTION-METHOD,0.892236384705,0.107763615295,0,0,0,0,0,0
1,size_upper,1.21639616835,0.00979142526072,0.05,0.05,0.195828505214,8.881784197e-16,-0.00166986458483,continuous-moment-calibrated statutory-bracket diagnostic; not observed filer MTR,SENSITIVITY_ONLY_NOT_IDENTIFIED,ESTAT-7156-1-2024;ESTAT-7191-1-2024;ESTAT-7153-1-2024;NTA-2026-TAX-REFORM;NTA-2026-INCOME-TAX;NTA-SALARY-DEDUCTION-1410;NTA-INCOME-TAX-RATE-2260;NTA-2026-PENSION-TAX;NTA-2026-PENSION-DETAIL;NTA-MINKAN-2024-T17;NTA-2026-DEPENDENT-DEDUCTION;ESTAT-7155-1-2024;STAT-NSFCW-2024-ANNUAL-NONCONSUMPTION-METHOD,0.804171494786,0.195828505214,0,0,0,0,0,0
1,business_proportional,2.36856450442,0.004725950783,0.05,0.05,0.09451901566,6.66133814775e-16,-0.00427620082625,continuous-moment-calibrated statutory-bracket diagnostic; not observed filer MTR,SENSITIVITY_ONLY_NOT_IDENTIFIED,ESTAT-7156-1-2024;ESTAT-7191-1-2024;ESTAT-7153-1-2024;NTA-2026-TAX-REFORM;NTA-2026-INCOME-TAX;NTA-SALARY-DEDUCTION-1410;NTA-INCOME-TAX-RATE-2260;NTA-2026-PENSION-TAX;NTA-2026-PENSION-DETAIL;NTA-MINKAN-2024-T17;NTA-2026-DEPENDENT-DEDUCTION;ESTAT-7155-1-2024;STAT-NSFCW-2024-ANNUAL-NONCONSUMPTION-METHOD,0.90548098434,0.09451901566,0,0,0,0,0,0
1,other_wage_split2,1.82324222631,0.00538818076477,0.05,0.05,0.107763615295,4.4408920985e-16,-0.00160227431245,continuous-moment-calibrated statutory-bracket diagnostic; not observed filer MTR,SENSITIVITY_ONLY_NOT_IDENTIFIED,ESTAT-7156-1-2024;ESTAT-7191-1-2024;ESTAT-7153-1-2024;NTA-2026-TAX-REFORM;NTA-2026-INCOME-TAX;NTA-SALARY-DEDUCTION-1410;NTA-INCOME-TAX-RATE-2260;NTA-2026-PENSION-TAX;NTA-2026-PENSION-DETAIL;NTA-MINKAN-2024-T17;NTA-2026-DEPENDENT-DEDUCTION;ESTAT-7155-1-2024;STAT-NSFCW-2024-ANNUAL-NONCONSUMPTION-METHOD,0.892236384705,0.107763615295,0,0,0,0,0,0
1,no_social_deduction_proxy,1.58332299369,0.00538818076477,0.05,0.05,0.107763615295,2.22044604925e-16,-0.00121318450938,continuous-moment-calibrated statutory-bracket diagnostic; not observed filer MTR,SENSITIVITY_ONLY_NOT_IDENTIFIED,ESTAT-7156-1-2024;ESTAT-7191-1-2024;ESTAT-7153-1-2024;NTA-2026-TAX-REFORM;NTA-2026-INCOME-TAX;NTA-SALARY-DEDUCTION-1410;NTA-INCOME-TAX-RATE-2260;NTA-2026-PENSION-TAX;NTA-2026-PENSION-DETAIL;NTA-MINKAN-2024-T17;NTA-2026-DEPENDENT-DEDUCTION;ESTAT-7155-1-2024;STAT-NSFCW-2024-ANNUAL-NONCONSUMPTION-METHOD,0.892236384705,0.107763615295,0,0,0,0,0,0
1,nta_salary_social,1.66580429159,0.00538818076477,0.05,0.05,0.107763615295,2.22044604925e-16,-0.000590496415597,continuous-moment-calibrated statutory-bracket diagnostic; not observed filer MTR,SENSITIVITY_ONLY_NOT_IDENTIFIED,ESTAT-7156-1-2024;ESTAT-7191-1-2024;ESTAT-7153-1-2024;NTA-2026-TAX-REFORM;NTA-2026-INCOME-TAX;NTA-SALARY-DEDUCTION-1410;NTA-INCOME-TAX-RATE-2260;NTA-2026-PENSION-TAX;NTA-2026-PENSION-DETAIL;NTA-MINKAN-2024-T17;NTA-2026-DEPENDENT-DEDUCTION;ESTAT-7155-1-2024;STAT-NSFCW-2024-ANNUAL-NONCONSUMPTION-METHOD,0.892236384705,0.107763615295,0,0,0,0,0,0
1,nta_salary_dependents,1.8438373888,0.00538818076477,0.05,0.05,0.107763615295,2.22044604925e-16,-0.000832389611709,continuous-moment-calibrated statutory-bracket diagnostic; not observed filer MTR,SENSITIVITY_ONLY_NOT_IDENTIFIED,ESTAT-7156-1-2024;ESTAT-7191-1-2024;ESTAT-7153-1-2024;NTA-2026-TAX-REFORM;NTA-2026-INCOME-TAX;NTA-SALARY-DEDUCTION-1410;NTA-INCOME-TAX-RATE-2260;NTA-2026-PENSION-TAX;NTA-2026-PENSION-DETAIL;NTA-MINKAN-2024-T17;NTA-2026-DEPENDENT-DEDUCTION;ESTAT-7155-1-2024;STAT-NSFCW-2024-ANNUAL-NONCONSUMPTION-METHOD,0.892236384705,0.107763615295,0,0,0,0,0,0
1,pension_head_merge,1.82324222631,0.00538818076477,0.05,0.05,0.107763615295,4.4408920985e-16,-0.00160227431245,continuous-moment-calibrated statutory-bracket diagnostic; not observed filer MTR,SENSITIVITY_ONLY_NOT_IDENTIFIED,ESTAT-7156-1-2024;ESTAT-7191-1-2024;ESTAT-7153-1-2024;NTA-2026-TAX-REFORM;NTA-2026-INCOME-TAX;NTA-SALARY-DEDUCTION-1410;NTA-INCOME-TAX-RATE-2260;NTA-2026-PENSION-TAX;NTA-2026-PENSION-DETAIL;NTA-MINKAN-2024-T17;NTA-2026-DEPENDENT-DEDUCTION;ESTAT-7155-1-2024;STAT-NSFCW-2024-ANNUAL-NONCONSUMPTION-METHOD,0.892236384705,0.107763615295,0,0,0,0,0,0
