spec_version,solution_source,delta_budget,eta,f_decile,nta_rank_decile,absolute_decile_distance,population_transport_mass,positive_self_assessed_balance_transport_mass,cost_contribution,population_transport_positive,positive_self_assessed_balance_transport_positive,scientific_status,historical_v6_restricted_lp_reproduced,p1c13_v1_modified,p1c14_v2_modified,p1c15_v3_modified,p1c16_v4_modified
rank_one_sided_bridge_v5,eta_star_frontier,0,0,4,2,2,0,0,0,0,0,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,eta_star_frontier,0,0,4,3,1,0,0,0,0,0,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,eta_star_frontier,0,0,4,4,0,0.1,0.016307507894,0,1,1,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,eta_star_frontier,0,0,4,5,1,0,0,0,0,0,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,eta_star_frontier,0,0,4,6,2,0,0,0,0,0,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,eta_star_frontier,0,0,4,7,3,0,0,0,0,0,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,eta_star_frontier,0,0,4,8,4,0,0,0,0,0,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,eta_star_frontier,0,0,4,9,5,0,0,0,0,0,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,eta_star_frontier,0,0,4,10,6,0,0,0,0,0,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,eta_star_frontier,0,0,5,1,4,0,0,0,0,0,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,eta_star_frontier,0,0,5,2,3,0,0,0,0,0,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,eta_star_frontier,0,0,5,3,2,0,0,0,0,0,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,eta_star_frontier,0,0,5,4,1,0,0,0,0,0,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,eta_star_frontier,0,0,5,5,0,0.1,0.0186036117171,0,1,1,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,eta_star_frontier,0,0,5,6,1,0,0,0,0,0,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,eta_star_frontier,0,0,5,7,2,0,0,0,0,0,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,eta_star_frontier,0,0,5,8,3,0,0,0,0,0,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,eta_star_frontier,0,0,5,9,4,0,0,0,0,0,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,eta_star_frontier,0,0,5,10,5,0,0,0,0,0,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,eta_star_frontier,0,0,6,1,5,0,0,0,0,0,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,eta_star_frontier,0,0,6,2,4,0,0,0,0,0,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,eta_star_frontier,0,0,6,3,3,0,0,0,0,0,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
