spec_version,bridge_scheme,frontier_source,delta,average_percentile_rank_displacement_pp,eta_star,eta_constraint_used,scope,decile,metric,bound,endpoint_value,solver_status_code,solver_message,max_scenario_sum_residual,max_class_positive_mass_residual,max_overlap_capacity_excess,max_transport_row_margin_residual,max_transport_column_margin_residual,max_positive_self_assessed_balance_transport_capacity_excess,max_nta_rank_positive_margin_residual,transport_cost,rank_displacement_budget_excess,maximum_directional_violation_transported_minus_pseudo,maximum_directional_violation_excess,minimum_subset_margin_pseudo_minus_transported,minimum_decision_variable,numpy_version,scipy_version,solver_method,scientific_status,historical_v6_restricted_lp_reproduced,p1c13_v1_modified,p1c14_v2_modified,p1c15_v3_modified,p1c16_v4_modified
rank_one_sided_bridge_v5,rank_transport_one_sided_subset_compatibility,eta_star_frontier,0,0,0,0,decile,3,transported_nta_positive_self_assessed_balance_rate,max,0.0608598922087,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,0,0,0,0,0,0,0,0,0,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,rank_transport_one_sided_subset_compatibility,eta_star_frontier,0,0,0,0,decile,4,taxable_income_weighted_mean_MTR,min,0.05,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,0,0,0,0,0,0,0,0,0,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,rank_transport_one_sided_subset_compatibility,eta_star_frontier,0,0,0,0,decile,4,taxable_income_weighted_mean_MTR,max,0.058968460929,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,0,0,0,0,0,0,0,0,0,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,rank_transport_one_sided_subset_compatibility,eta_star_frontier,0,0,0,0,decile,4,income_tax_liability_weighted_mean_MTR,min,0.05,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,0,0,0,0,0,0,0,0,0,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,rank_transport_one_sided_subset_compatibility,eta_star_frontier,0,0,0,0,decile,4,income_tax_liability_weighted_mean_MTR,max,0.0602889317796,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,0,0,0,0,0,0,0,0,0,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,rank_transport_one_sided_subset_compatibility,eta_star_frontier,0,0,0,0,decile,4,pseudo_positive_modeled_annual_income_tax_share,min,0.190499272904,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,0,0,0,0,0,0,0,0,0,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,rank_transport_one_sided_subset_compatibility,eta_star_frontier,0,0,0,0,decile,4,pseudo_positive_modeled_annual_income_tax_share,max,0.504604051565,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,0,0,0,0,0,0,0,0,0,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,rank_transport_one_sided_subset_compatibility,eta_star_frontier,0,0,0,0,decile,4,transported_nta_positive_self_assessed_balance_rate,min,0,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,0,0,0,0,0,0,0,0,0,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,rank_transport_one_sided_subset_compatibility,eta_star_frontier,0,0,0,0,decile,4,transported_nta_positive_self_assessed_balance_rate,max,0.218135427749,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,0,0,0,0,0,0,0,0,0,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,rank_transport_one_sided_subset_compatibility,eta_star_frontier,0,0,0,0,decile,5,taxable_income_weighted_mean_MTR,min,0.0575744226295,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,0,0,0,0,0,0,0,0,0,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,rank_transport_one_sided_subset_compatibility,eta_star_frontier,0,0,0,0,decile,5,taxable_income_weighted_mean_MTR,max,0.103241125426,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,0,0,0,0,0,0,0,0,0,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,rank_transport_one_sided_subset_compatibility,eta_star_frontier,0,0,0,0,decile,5,income_tax_liability_weighted_mean_MTR,min,0.0586702460887,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,0,0,0,0,0,0,0,0,0,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,rank_transport_one_sided_subset_compatibility,eta_star_frontier,0,0,0,0,decile,5,income_tax_liability_weighted_mean_MTR,max,0.113729890589,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,0,0,0,0,0,0,0,0,0,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,rank_transport_one_sided_subset_compatibility,eta_star_frontier,0,0,0,0,decile,5,pseudo_positive_modeled_annual_income_tax_share,min,0.213769860376,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,0,0,0,0,0,0,0,0,0,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,rank_transport_one_sided_subset_compatibility,eta_star_frontier,0,0,0,0,decile,5,pseudo_positive_modeled_annual_income_tax_share,max,0.586991869919,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,0,0,0,0,0,0,0,0,0,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,rank_transport_one_sided_subset_compatibility,eta_star_frontier,0,0,0,0,decile,5,transported_nta_positive_self_assessed_balance_rate,min,0,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,0,0,0,0,0,0,0,0,0,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,rank_transport_one_sided_subset_compatibility,eta_star_frontier,0,0,0,0,decile,5,transported_nta_positive_self_assessed_balance_rate,max,0.349111196111,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,0,0,0,0,0,0,0,0,0,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,rank_transport_one_sided_subset_compatibility,eta_star_frontier,0,0,0,0,decile,6,taxable_income_weighted_mean_MTR,min,0.0945551847046,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,0,0,0,0,0,0,0,0,0,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,rank_transport_one_sided_subset_compatibility,eta_star_frontier,0,0,0,0,decile,6,taxable_income_weighted_mean_MTR,max,0.153348627649,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,0,0,0,0,0,0,0,0,0,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,rank_transport_one_sided_subset_compatibility,eta_star_frontier,0,0,0,0,decile,6,income_tax_liability_weighted_mean_MTR,min,0.104721210072,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,0,0,0,0,0,0,0,0,0,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,rank_transport_one_sided_subset_compatibility,eta_star_frontier,0,0,0,0,decile,6,income_tax_liability_weighted_mean_MTR,max,0.166077223997,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,0,0,0,0,0,0,0,0,0,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,rank_transport_one_sided_subset_compatibility,eta_star_frontier,0,0,0,0,decile,6,pseudo_positive_modeled_annual_income_tax_share,min,0.235387045814,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,0,0,0,0,0,0,0,0,0,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,rank_transport_one_sided_subset_compatibility,eta_star_frontier,0,0,0,0,decile,6,pseudo_positive_modeled_annual_income_tax_share,max,0.532498042287,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,0,0,0,0,0,0,0,0,0,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,rank_transport_one_sided_subset_compatibility,eta_star_frontier,0,0,0,0,decile,6,transported_nta_positive_self_assessed_balance_rate,min,0.177223328093,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,0,0,0,0,0,0,0,0,0,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,rank_transport_one_sided_subset_compatibility,eta_star_frontier,0,0,0,0,decile,6,transported_nta_positive_self_assessed_balance_rate,max,0.372626120914,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,0,0,0,0,0,0,0,0,0,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,rank_transport_one_sided_subset_compatibility,eta_star_frontier,0,0,0,0,decile,7,taxable_income_weighted_mean_MTR,min,0.101040597253,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,0,0,0,0,0,0,0,0,0,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,rank_transport_one_sided_subset_compatibility,eta_star_frontier,0,0,0,0,decile,7,taxable_income_weighted_mean_MTR,max,0.16445572026,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,0,0,0,0,0,0,0,0,0,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,rank_transport_one_sided_subset_compatibility,eta_star_frontier,0,0,0,0,decile,7,income_tax_liability_weighted_mean_MTR,min,0.114321209827,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,0,0,0,0,0,0,0,0,0,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,rank_transport_one_sided_subset_compatibility,eta_star_frontier,0,0,0,0,decile,7,income_tax_liability_weighted_mean_MTR,max,0.177198331736,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,0,0,0,0,0,0,0,0,0,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,rank_transport_one_sided_subset_compatibility,eta_star_frontier,0,0,0,0,decile,7,pseudo_positive_modeled_annual_income_tax_share,min,0.319230342506,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.11022302463e-16,0,0,0,0,0,0,0,0,0,0,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
