scenario_id,assumption_set_id,year,fy2024_static_gap_reference_yen,primary_jgb_share,replacement_revenue_share,policy_primary_gap_yen,replacement_revenue_yen,opening_incremental_debt_yen,effective_interest_rate,incremental_interest_expense_yen,annual_redemption_rate,redemptions_yen,financial_asset_change_yen,net_new_issuance_yen,gross_new_issuance_yen,closing_incremental_debt_yen,nominal_gdp_growth,nominal_gdp_sensitivity_yen,incremental_debt_gdp_ratio,cumulative_incremental_interest_yen,path_status,assumption_status,total_debt_gdp_status,market_feedback_status
full_abolition_jgb,r02_g02,1,25021206715000,1,0,25021206715000,0,0,0.02,0,0.20,0,0,25021206715000,25021206715000,25021206715000,0.02,655262994000000,0.038184983654,0,MODEL_CONTINGENT_INCREMENTAL_DEBT_PATH_SENSITIVITY,MODEL_SENSITIVITY_NOT_EMPIRICAL_BOUND,NOT_COMPUTED_BASELINE_TOTAL_DEBT_STOCK_OUTSIDE_THIS_INCREMENTAL_MODULE,NOT_IDENTIFIED_INTEREST_AND_GDP_PATHS_ARE_EXOGENOUS_SENSITIVITIES
full_abolition_jgb,r02_g02,2,25021206715000,1,0,25021206715000,0,25021206715000,0.02,500424134300,0.20,5004241343000,0,25521630849300,30525872192300,50542837564300,0.02,668368253880000,0.075621242138,500424134300,MODEL_CONTINGENT_INCREMENTAL_DEBT_PATH_SENSITIVITY,MODEL_SENSITIVITY_NOT_EMPIRICAL_BOUND,NOT_COMPUTED_BASELINE_TOTAL_DEBT_STOCK_OUTSIDE_THIS_INCREMENTAL_MODULE,NOT_IDENTIFIED_INTEREST_AND_GDP_PATHS_ARE_EXOGENOUS_SENSITIVITIES
full_abolition_jgb,r02_g02,3,25021206715000,1,0,25021206715000,0,50542837564300,0.02,1010856751286,0.20,10108567512860,0,26032063466286,36140630979146,76574901030586,0.02,681735618957600,0.112323456339,1511280885586,MODEL_CONTINGENT_INCREMENTAL_DEBT_PATH_SENSITIVITY,MODEL_SENSITIVITY_NOT_EMPIRICAL_BOUND,NOT_COMPUTED_BASELINE_TOTAL_DEBT_STOCK_OUTSIDE_THIS_INCREMENTAL_MODULE,NOT_IDENTIFIED_INTEREST_AND_GDP_PATHS_ARE_EXOGENOUS_SENSITIVITIES
full_abolition_jgb,r02_g02,4,25021206715000,1,0,25021206715000,0,76574901030586,0.02,1531498020611.72,0.20,15314980206117.2,0,26552704735611.72,41867684941728.92,103127605766197.72,0.02,695370331336752,0.14830601928,3042778906197.72,MODEL_CONTINGENT_INCREMENTAL_DEBT_PATH_SENSITIVITY,MODEL_SENSITIVITY_NOT_EMPIRICAL_BOUND,NOT_COMPUTED_BASELINE_TOTAL_DEBT_STOCK_OUTSIDE_THIS_INCREMENTAL_MODULE,NOT_IDENTIFIED_INTEREST_AND_GDP_PATHS_ARE_EXOGENOUS_SENSITIVITIES
full_abolition_jgb,r02_g02,5,25021206715000,1,0,25021206715000,0,103127605766197.72,0.02,2062552115323.9544,0.20,20625521153239.544,0,27083758830323.9544,47709279983563.4984,130211364596521.6744,0.02,709277737963487.04,0.183583041772,5105331021521.6744,MODEL_CONTINGENT_INCREMENTAL_DEBT_PATH_SENSITIVITY,MODEL_SENSITIVITY_NOT_EMPIRICAL_BOUND,NOT_COMPUTED_BASELINE_TOTAL_DEBT_STOCK_OUTSIDE_THIS_INCREMENTAL_MODULE,NOT_IDENTIFIED_INTEREST_AND_GDP_PATHS_ARE_EXOGENOUS_SENSITIVITIES
full_abolition_jgb,r02_g02,6,25021206715000,1,0,25021206715000,0,130211364596521.6744,0.02,2604227291930.433488,0.20,26042272919304.33488,0,27625434006930.433488,53667706926234.768368,157836798603452.107888,0.02,723463292722756.7808,0.21816835794,7709558313452.107888,MODEL_CONTINGENT_INCREMENTAL_DEBT_PATH_SENSITIVITY,MODEL_SENSITIVITY_NOT_EMPIRICAL_BOUND,NOT_COMPUTED_BASELINE_TOTAL_DEBT_STOCK_OUTSIDE_THIS_INCREMENTAL_MODULE,NOT_IDENTIFIED_INTEREST_AND_GDP_PATHS_ARE_EXOGENOUS_SENSITIVITIES
full_abolition_jgb,r02_g02,7,25021206715000,1,0,25021206715000,0,157836798603452.107888,0.02,3156735972069.04215776,0.20,31567359720690.4215776,0,28177942687069.04215776,59745302407759.46373536,186014741290521.15004576,0.02,737932558577211.916416,0.252075530654,10866294285521.15004576,MODEL_CONTINGENT_INCREMENTAL_DEBT_PATH_SENSITIVITY,MODEL_SENSITIVITY_NOT_EMPIRICAL_BOUND,NOT_COMPUTED_BASELINE_TOTAL_DEBT_STOCK_OUTSIDE_THIS_INCREMENTAL_MODULE,NOT_IDENTIFIED_INTEREST_AND_GDP_PATHS_ARE_EXOGENOUS_SENSITIVITIES
full_abolition_jgb,r02_g02,8,25021206715000,1,0,25021206715000,0,186014741290521.15004576,0.02,3720294825810.4230009152,0.20,37202948258104.230009152,0,28741501540810.4230009152,65944449798914.6530100672,214756242831331.5730466752,0.02,752691209748756.15474432,0.285317856845,14586589111331.5730466752,MODEL_CONTINGENT_INCREMENTAL_DEBT_PATH_SENSITIVITY,MODEL_SENSITIVITY_NOT_EMPIRICAL_BOUND,NOT_COMPUTED_BASELINE_TOTAL_DEBT_STOCK_OUTSIDE_THIS_INCREMENTAL_MODULE,NOT_IDENTIFIED_INTEREST_AND_GDP_PATHS_ARE_EXOGENOUS_SENSITIVITIES
full_abolition_jgb,r02_g02,9,25021206715000,1,0,25021206715000,0,214756242831331.5730466752,0.02,4295124856626.631460933504,0.20,42951248566266.31460933504,0,29316331571626.631460933504,72267580137892.946070268544,244072574402958.204507608704,0.02,767745033943731.2778392064,0.317908372717,18881713967958.204507608704,MODEL_CONTINGENT_INCREMENTAL_DEBT_PATH_SENSITIVITY,MODEL_SENSITIVITY_NOT_EMPIRICAL_BOUND,NOT_COMPUTED_BASELINE_TOTAL_DEBT_STOCK_OUTSIDE_THIS_INCREMENTAL_MODULE,NOT_IDENTIFIED_INTEREST_AND_GDP_PATHS_ARE_EXOGENOUS_SENSITIVITIES
full_abolition_jgb,r02_g02,10,25021206715000,1,0,25021206715000,0,244072574402958.204507608704,0.02,4881451488059.16409015217408,0.20,48814514880591.6409015217408,0,29902658203059.16409015217408,78717173083650.80499167391488,273975232606017.3685977608781,0.02,783099934622605.903395990528,0.349859858867,23763165456017.36859776087808,MODEL_CONTINGENT_INCREMENTAL_DEBT_PATH_SENSITIVITY,MODEL_SENSITIVITY_NOT_EMPIRICAL_BOUND,NOT_COMPUTED_BASELINE_TOTAL_DEBT_STOCK_OUTSIDE_THIS_INCREMENTAL_MODULE,NOT_IDENTIFIED_INTEREST_AND_GDP_PATHS_ARE_EXOGENOUS_SENSITIVITIES
full_abolition_mixed,r02_g02,1,25021206715000,0.5,0.5,12510603357500,12510603357500,0,0.02,0,0.20,0,0,12510603357500,12510603357500,12510603357500,0.02,655262994000000,0.019092491827,0,MODEL_CONTINGENT_HALF_PRIMARY_JGB_SHARE_SENSITIVITY,MODEL_SENSITIVITY_NOT_EMPIRICAL_BOUND,NOT_COMPUTED_BASELINE_TOTAL_DEBT_STOCK_OUTSIDE_THIS_INCREMENTAL_MODULE,NOT_IDENTIFIED_INTEREST_AND_GDP_PATHS_ARE_EXOGENOUS_SENSITIVITIES
full_abolition_mixed,r02_g02,2,25021206715000,0.5,0.5,12510603357500,12510603357500,12510603357500,0.02,250212067150,0.20,2502120671500,0,12760815424650,15262936096150,25271418782150,0.02,668368253880000,0.037810621069,250212067150,MODEL_CONTINGENT_HALF_PRIMARY_JGB_SHARE_SENSITIVITY,MODEL_SENSITIVITY_NOT_EMPIRICAL_BOUND,NOT_COMPUTED_BASELINE_TOTAL_DEBT_STOCK_OUTSIDE_THIS_INCREMENTAL_MODULE,NOT_IDENTIFIED_INTEREST_AND_GDP_PATHS_ARE_EXOGENOUS_SENSITIVITIES
full_abolition_mixed,r02_g02,3,25021206715000,0.5,0.5,12510603357500,12510603357500,25271418782150,0.02,505428375643,0.20,5054283756430,0,13016031733143,18070315489573,38287450515293,0.02,681735618957600,0.056161728169,755640442793,MODEL_CONTINGENT_HALF_PRIMARY_JGB_SHARE_SENSITIVITY,MODEL_SENSITIVITY_NOT_EMPIRICAL_BOUND,NOT_COMPUTED_BASELINE_TOTAL_DEBT_STOCK_OUTSIDE_THIS_INCREMENTAL_MODULE,NOT_IDENTIFIED_INTEREST_AND_GDP_PATHS_ARE_EXOGENOUS_SENSITIVITIES
