income_class_index,income_class_label,lower_bound_yen_exclusive,upper_bound_yen_inclusive,is_topcoded,primary_income_type,primary_income_type_ja,positive_self_assessed_balance_persons_estimated,calculated_income_tax_million_yen,tax_credits_million_yen,post_credit_income_tax_million_yen,tax_credit_persons_estimated,tax_credit_exposure_share_within_positive_balance,dividend_credit_million_yen,housing_credit_million_yen,other_credit_million_yen,special_2024_tax_reduction_million_yen,source_withholding_persons_estimated,source_withholding_exposure_share_within_positive_balance,source_withholding_tax_million_yen,salary_withholding_persons_estimated,salary_withholding_tax_million_yen,non_salary_withholding_persons_estimated,non_salary_withholding_tax_million_yen,pension_withholding_persons_estimated,pension_withholding_tax_million_yen,self_assessed_balance_million_yen,implied_reconstruction_special_income_tax_million_yen,implied_reconstruction_special_income_tax_rate_on_post_credit,self_assessed_balance_share_of_pre_withholding_tax,table1_source_cells,table4_source_cells,table5_source_cells,source_ids,source_sha256_table1,source_sha256_table4,source_sha256_table5,cell_nature,evidence_status,target_population,identification_warning
6,300万円,2500000,3000000,False,business,事業所得者,115841,10450,4067,6383,113446,0.979325109417,4,18,28,4017,13699,0.118256921125,245,7473,115,6531,131,1852,13,6271,133,0.0208365972113,0.962400245549,D41;H41;I41;J41;K41;L41,E41;G41;I41;L41;M41;N41,D42;E42;F42;G42;H42;I42;J42;K42,NTA-2024-SHINKOKU-T1-XLSX;NTA-2024-SHINKOKU-T4-XLSX;NTA-2024-SHINKOKU-T5-XLSX,df23218947cf02235dbb526ab7a9315fd0475ed37e4aa064be7d06dbe23e99f8,172c4c315fb146cac0b3f7beaef65bedbac07634b0f79cae0ee12635980b6da2,4f74c500b213630eceeb0099939529b9a370378e8cfddbe6e5173dd128774088,SURVEY_ESTIMATED_POSITIVE_SELF_ASSESSED_BALANCE_TAX_FLOW_CELL,REPRODUCED_OFFICIAL_SURVEY_TAX_FLOW_DIAGNOSTIC,2024 NTA Sample Survey for Self-Assessment Income Tax: persons with positive self-assessed income tax,"The sample is already conditioned on positive self-assessed balance; it does not identify calculated-tax-positive persons outside that target, does not identify F71561 household-to-filer linkage, and amount-flow identities are not person-level transition observations."
6,300万円,2500000,3000000,False,real_estate,不動産所得者,63122,6052,2125,3927,60804,0.963277462691,12,6,27,2081,15453,0.244811634612,236,5329,63,10124,173,6551,44,3774,83,0.0211357270181,0.94114713217,D75;H75;I75;J75;K75;L75,E75;G75;I75;L75;M75;N75,D77;E77;F77;G77;H77;I77;J77;K77,NTA-2024-SHINKOKU-T1-XLSX;NTA-2024-SHINKOKU-T4-XLSX;NTA-2024-SHINKOKU-T5-XLSX,df23218947cf02235dbb526ab7a9315fd0475ed37e4aa064be7d06dbe23e99f8,172c4c315fb146cac0b3f7beaef65bedbac07634b0f79cae0ee12635980b6da2,4f74c500b213630eceeb0099939529b9a370378e8cfddbe6e5173dd128774088,SURVEY_ESTIMATED_POSITIVE_SELF_ASSESSED_BALANCE_TAX_FLOW_CELL,REPRODUCED_OFFICIAL_SURVEY_TAX_FLOW_DIAGNOSTIC,2024 NTA Sample Survey for Self-Assessment Income Tax: persons with positive self-assessed income tax,"The sample is already conditioned on positive self-assessed balance; it does not identify calculated-tax-positive persons outside that target, does not identify F71561 household-to-filer linkage, and amount-flow identities are not person-level transition observations."
6,300万円,2500000,3000000,False,salary,給与所得者,181588,15710,6306,9404,179631,0.989222856136,10,21,27,6248,152389,0.839201929643,5012,146495,4997,33055,15,26475,13,4590,198,0.021054870268,0.478025411373,D103;H103;I103;J103;K103;L103,E103;G103;I103;L103;M103;N103,D105;E105;F105;G105;H105;I105;J105;K105,NTA-2024-SHINKOKU-T1-XLSX;NTA-2024-SHINKOKU-T4-XLSX;NTA-2024-SHINKOKU-T5-XLSX,df23218947cf02235dbb526ab7a9315fd0475ed37e4aa064be7d06dbe23e99f8,172c4c315fb146cac0b3f7beaef65bedbac07634b0f79cae0ee12635980b6da2,4f74c500b213630eceeb0099939529b9a370378e8cfddbe6e5173dd128774088,SURVEY_ESTIMATED_POSITIVE_SELF_ASSESSED_BALANCE_TAX_FLOW_CELL,REPRODUCED_OFFICIAL_SURVEY_TAX_FLOW_DIAGNOSTIC,2024 NTA Sample Survey for Self-Assessment Income Tax: persons with positive self-assessed income tax,"The sample is already conditioned on positive self-assessed balance; it does not identify calculated-tax-positive persons outside that target, does not identify F71561 household-to-filer linkage, and amount-flow identities are not person-level transition observations."
6,300万円,2500000,3000000,False,miscellaneous,雑所得者,62083,5621,2357,3264,59848,0.96399980671,13,8,28,2309,51989,0.837411207577,1091,12629,163,48742,928,47416,675,2241,68,0.0208333333333,0.672569027611,D137;H137;I137;J137;K137;L137,E137;G137;I137;L137;M137;N137,D140;E140;F140;G140;H140;I140;J140;K140,NTA-2024-SHINKOKU-T1-XLSX;NTA-2024-SHINKOKU-T4-XLSX;NTA-2024-SHINKOKU-T5-XLSX,df23218947cf02235dbb526ab7a9315fd0475ed37e4aa064be7d06dbe23e99f8,172c4c315fb146cac0b3f7beaef65bedbac07634b0f79cae0ee12635980b6da2,4f74c500b213630eceeb0099939529b9a370378e8cfddbe6e5173dd128774088,SURVEY_ESTIMATED_POSITIVE_SELF_ASSESSED_BALANCE_TAX_FLOW_CELL,REPRODUCED_OFFICIAL_SURVEY_TAX_FLOW_DIAGNOSTIC,2024 NTA Sample Survey for Self-Assessment Income Tax: persons with positive self-assessed income tax,"The sample is already conditioned on positive self-assessed balance; it does not identify calculated-tax-positive persons outside that target, does not identify F71561 household-to-filer linkage, and amount-flow identities are not person-level transition observations."
6,300万円,2500000,3000000,False,other,他の区分に該当しない所得者,13281,3436,501,2935,12723,0.957985091484,14,9,8,471,3772,0.284014757925,111,1404,18,2368,93,1396,14,2885,61,0.0207836456559,0.962950600801,D165;H165;I165;J165;K165;L165,E165;G165;I165;L165;M165;N165,D168;E168;F168;G168;H168;I168;J168;K168,NTA-2024-SHINKOKU-T1-XLSX;NTA-2024-SHINKOKU-T4-XLSX;NTA-2024-SHINKOKU-T5-XLSX,df23218947cf02235dbb526ab7a9315fd0475ed37e4aa064be7d06dbe23e99f8,172c4c315fb146cac0b3f7beaef65bedbac07634b0f79cae0ee12635980b6da2,4f74c500b213630eceeb0099939529b9a370378e8cfddbe6e5173dd128774088,SURVEY_ESTIMATED_POSITIVE_SELF_ASSESSED_BALANCE_TAX_FLOW_CELL,REPRODUCED_OFFICIAL_SURVEY_TAX_FLOW_DIAGNOSTIC,2024 NTA Sample Survey for Self-Assessment Income Tax: persons with positive self-assessed income tax,"The sample is already conditioned on positive self-assessed balance; it does not identify calculated-tax-positive persons outside that target, does not identify F71561 household-to-filer linkage, and amount-flow identities are not person-level transition observations."
7,400万円,3000000,4000000,False,business,事業所得者,199937,25685,8440,17245,196853,0.984575141169,12,162,85,8180,29037,0.145230747686,722,15011,294,14122,429,4561,44,16886,363,0.0210495795883,0.95899591095,D42;H42;I42;J42;K42;L42,E42;G42;I42;L42;M42;N42,D43;E43;F43;G43;H43;I43;J43;K43,NTA-2024-SHINKOKU-T1-XLSX;NTA-2024-SHINKOKU-T4-XLSX;NTA-2024-SHINKOKU-T5-XLSX,df23218947cf02235dbb526ab7a9315fd0475ed37e4aa064be7d06dbe23e99f8,172c4c315fb146cac0b3f7beaef65bedbac07634b0f79cae0ee12635980b6da2,4f74c500b213630eceeb0099939529b9a370378e8cfddbe6e5173dd128774088,SURVEY_ESTIMATED_POSITIVE_SELF_ASSESSED_BALANCE_TAX_FLOW_CELL,REPRODUCED_OFFICIAL_SURVEY_TAX_FLOW_DIAGNOSTIC,2024 NTA Sample Survey for Self-Assessment Income Tax: persons with positive self-assessed income tax,"The sample is already conditioned on positive self-assessed balance; it does not identify calculated-tax-positive persons outside that target, does not identify F71561 household-to-filer linkage, and amount-flow identities are not person-level transition observations."
7,400万円,3000000,4000000,False,real_estate,不動産所得者,124665,16070,4790,11280,121450,0.974210885172,44,35,76,4635,46312,0.371491597481,918,15318,250,30994,668,22134,213,10599,237,0.0210106382979,0.920291742641,D76;H76;I76;J76;K76;L76,E76;G76;I76;L76;M76;N76,D78;E78;F78;G78;H78;I78;J78;K78,NTA-2024-SHINKOKU-T1-XLSX;NTA-2024-SHINKOKU-T4-XLSX;NTA-2024-SHINKOKU-T5-XLSX,df23218947cf02235dbb526ab7a9315fd0475ed37e4aa064be7d06dbe23e99f8,172c4c315fb146cac0b3f7beaef65bedbac07634b0f79cae0ee12635980b6da2,4f74c500b213630eceeb0099939529b9a370378e8cfddbe6e5173dd128774088,SURVEY_ESTIMATED_POSITIVE_SELF_ASSESSED_BALANCE_TAX_FLOW_CELL,REPRODUCED_OFFICIAL_SURVEY_TAX_FLOW_DIAGNOSTIC,2024 NTA Sample Survey for Self-Assessment Income Tax: persons with positive self-assessed income tax,"The sample is already conditioned on positive self-assessed balance; it does not identify calculated-tax-positive persons outside that target, does not identify F71561 household-to-filer linkage, and amount-flow identities are not person-level transition observations."
7,400万円,3000000,4000000,False,salary,給与所得者,368173,45379,15003,30376,364859,0.990998796761,44,186,103,14670,325691,0.884614026558,16853,301890,16402,94474,451,76493,401,14160,637,0.0209705030287,0.456582723374,D104;H104;I104;J104;K104;L104,E104;G104;I104;L104;M104;N104,D106;E106;F106;G106;H106;I106;J106;K106,NTA-2024-SHINKOKU-T1-XLSX;NTA-2024-SHINKOKU-T4-XLSX;NTA-2024-SHINKOKU-T5-XLSX,df23218947cf02235dbb526ab7a9315fd0475ed37e4aa064be7d06dbe23e99f8,172c4c315fb146cac0b3f7beaef65bedbac07634b0f79cae0ee12635980b6da2,4f74c500b213630eceeb0099939529b9a370378e8cfddbe6e5173dd128774088,SURVEY_ESTIMATED_POSITIVE_SELF_ASSESSED_BALANCE_TAX_FLOW_CELL,REPRODUCED_OFFICIAL_SURVEY_TAX_FLOW_DIAGNOSTIC,2024 NTA Sample Survey for Self-Assessment Income Tax: persons with positive self-assessed income tax,"The sample is already conditioned on positive self-assessed balance; it does not identify calculated-tax-positive persons outside that target, does not identify F71561 household-to-filer linkage, and amount-flow identities are not person-level transition observations."
7,400万円,3000000,4000000,False,miscellaneous,雑所得者,82463,11042,3586,7456,80231,0.972933315548,33,18,54,3481,72920,0.884275371985,2740,22450,404,68379,2336,66252,1744,4873,157,0.0210568669528,0.640089320898,D138;H138;I138;J138;K138;L138,E138;G138;I138;L138;M138;N138,D141;E141;F141;G141;H141;I141;J141;K141,NTA-2024-SHINKOKU-T1-XLSX;NTA-2024-SHINKOKU-T4-XLSX;NTA-2024-SHINKOKU-T5-XLSX,df23218947cf02235dbb526ab7a9315fd0475ed37e4aa064be7d06dbe23e99f8,172c4c315fb146cac0b3f7beaef65bedbac07634b0f79cae0ee12635980b6da2,4f74c500b213630eceeb0099939529b9a370378e8cfddbe6e5173dd128774088,SURVEY_ESTIMATED_POSITIVE_SELF_ASSESSED_BALANCE_TAX_FLOW_CELL,REPRODUCED_OFFICIAL_SURVEY_TAX_FLOW_DIAGNOSTIC,2024 NTA Sample Survey for Self-Assessment Income Tax: persons with positive self-assessed income tax,"The sample is already conditioned on positive self-assessed balance; it does not identify calculated-tax-positive persons outside that target, does not identify F71561 household-to-filer linkage, and amount-flow identities are not person-level transition observations."
7,400万円,3000000,4000000,False,other,他の区分に該当しない所得者,24955,8862,1024,7838,23926,0.958765778401,36,26,24,938,9487,0.380164295732,348,3221,54,6266,294,4151,54,7655,165,0.021051288594,0.956516306385,D166;H166;I166;J166;K166;L166,E166;G166;I166;L166;M166;N166,D169;E169;F169;G169;H169;I169;J169;K169,NTA-2024-SHINKOKU-T1-XLSX;NTA-2024-SHINKOKU-T4-XLSX;NTA-2024-SHINKOKU-T5-XLSX,df23218947cf02235dbb526ab7a9315fd0475ed37e4aa064be7d06dbe23e99f8,172c4c315fb146cac0b3f7beaef65bedbac07634b0f79cae0ee12635980b6da2,4f74c500b213630eceeb0099939529b9a370378e8cfddbe6e5173dd128774088,SURVEY_ESTIMATED_POSITIVE_SELF_ASSESSED_BALANCE_TAX_FLOW_CELL,REPRODUCED_OFFICIAL_SURVEY_TAX_FLOW_DIAGNOSTIC,2024 NTA Sample Survey for Self-Assessment Income Tax: persons with positive self-assessed income tax,"The sample is already conditioned on positive self-assessed balance; it does not identify calculated-tax-positive persons outside that target, does not identify F71561 household-to-filer linkage, and amount-flow identities are not person-level transition observations."
