income_class_index,income_class_label,lower_bound_yen_exclusive,upper_bound_yen_inclusive,is_topcoded,primary_income_type,primary_income_type_ja,positive_self_assessed_balance_persons_estimated,calculated_income_tax_million_yen,tax_credits_million_yen,post_credit_income_tax_million_yen,tax_credit_persons_estimated,tax_credit_exposure_share_within_positive_balance,dividend_credit_million_yen,housing_credit_million_yen,other_credit_million_yen,special_2024_tax_reduction_million_yen,source_withholding_persons_estimated,source_withholding_exposure_share_within_positive_balance,source_withholding_tax_million_yen,salary_withholding_persons_estimated,salary_withholding_tax_million_yen,non_salary_withholding_persons_estimated,non_salary_withholding_tax_million_yen,pension_withholding_persons_estimated,pension_withholding_tax_million_yen,self_assessed_balance_million_yen,implied_reconstruction_special_income_tax_million_yen,implied_reconstruction_special_income_tax_rate_on_post_credit,self_assessed_balance_share_of_pre_withholding_tax,table1_source_cells,table4_source_cells,table5_source_cells,source_ids,source_sha256_table1,source_sha256_table4,source_sha256_table5,cell_nature,evidence_status,target_population,identification_warning
8,500万円,4000000,5000000,False,business,事業所得者,146140,30120,7855,22265,144569,0.989250034214,15,618,133,7088,25579,0.175030792391,946,12952,330,12718,616,3498,51,21787,468,0.0210195373905,0.958386486605,D43;H43;I43;J43;K43;L43,E43;G43;I43;L43;M43;N43,D44;E44;F44;G44;H44;I44;J44;K44,NTA-2024-SHINKOKU-T1-XLSX;NTA-2024-SHINKOKU-T4-XLSX;NTA-2024-SHINKOKU-T5-XLSX,df23218947cf02235dbb526ab7a9315fd0475ed37e4aa064be7d06dbe23e99f8,172c4c315fb146cac0b3f7beaef65bedbac07634b0f79cae0ee12635980b6da2,4f74c500b213630eceeb0099939529b9a370378e8cfddbe6e5173dd128774088,SURVEY_ESTIMATED_POSITIVE_SELF_ASSESSED_BALANCE_TAX_FLOW_CELL,REPRODUCED_OFFICIAL_SURVEY_TAX_FLOW_DIAGNOSTIC,2024 NTA Sample Survey for Self-Assessment Income Tax: persons with positive self-assessed income tax,"The sample is already conditioned on positive self-assessed balance; it does not identify calculated-tax-positive persons outside that target, does not identify F71561 household-to-filer linkage, and amount-flow identities are not person-level transition observations."
8,500万円,4000000,5000000,False,real_estate,不動産所得者,104065,21368,4444,16924,102045,0.980589054918,74,95,89,4186,49162,0.472416278288,1414,17566,433,32733,980,23657,339,15866,356,0.0210352162609,0.918171296296,D77;H77;I77;J77;K77;L77,E77;G77;I77;L77;M77;N77,D79;E79;F79;G79;H79;I79;J79;K79,NTA-2024-SHINKOKU-T1-XLSX;NTA-2024-SHINKOKU-T4-XLSX;NTA-2024-SHINKOKU-T5-XLSX,df23218947cf02235dbb526ab7a9315fd0475ed37e4aa064be7d06dbe23e99f8,172c4c315fb146cac0b3f7beaef65bedbac07634b0f79cae0ee12635980b6da2,4f74c500b213630eceeb0099939529b9a370378e8cfddbe6e5173dd128774088,SURVEY_ESTIMATED_POSITIVE_SELF_ASSESSED_BALANCE_TAX_FLOW_CELL,REPRODUCED_OFFICIAL_SURVEY_TAX_FLOW_DIAGNOSTIC,2024 NTA Sample Survey for Self-Assessment Income Tax: persons with positive self-assessed income tax,"The sample is already conditioned on positive self-assessed balance; it does not identify calculated-tax-positive persons outside that target, does not identify F71561 household-to-filer linkage, and amount-flow identities are not person-level transition observations."
8,500万円,4000000,5000000,False,salary,給与所得者,291420,57429,14429,43000,288892,0.991325235056,98,716,142,13473,270269,0.927420904536,24550,262277,23959,76073,590,53720,487,19355,905,0.0210465116279,0.440838173329,D105;H105;I105;J105;K105;L105,E105;G105;I105;L105;M105;N105,D107;E107;F107;G107;H107;I107;J107;K107,NTA-2024-SHINKOKU-T1-XLSX;NTA-2024-SHINKOKU-T4-XLSX;NTA-2024-SHINKOKU-T5-XLSX,df23218947cf02235dbb526ab7a9315fd0475ed37e4aa064be7d06dbe23e99f8,172c4c315fb146cac0b3f7beaef65bedbac07634b0f79cae0ee12635980b6da2,4f74c500b213630eceeb0099939529b9a370378e8cfddbe6e5173dd128774088,SURVEY_ESTIMATED_POSITIVE_SELF_ASSESSED_BALANCE_TAX_FLOW_CELL,REPRODUCED_OFFICIAL_SURVEY_TAX_FLOW_DIAGNOSTIC,2024 NTA Sample Survey for Self-Assessment Income Tax: persons with positive self-assessed income tax,"The sample is already conditioned on positive self-assessed balance; it does not identify calculated-tax-positive persons outside that target, does not identify F71561 household-to-filer linkage, and amount-flow identities are not person-level transition observations."
8,500万円,4000000,5000000,False,miscellaneous,雑所得者,36782,8472,1752,6720,35913,0.976374313523,38,25,48,1641,32885,0.894051438203,2805,11207,319,29620,2486,27977,1952,4057,142,0.021130952381,0.591227047508,D139;H139;I139;J139;K139;L139,E139;G139;I139;L139;M139;N139,D142;E142;F142;G142;H142;I142;J142;K142,NTA-2024-SHINKOKU-T1-XLSX;NTA-2024-SHINKOKU-T4-XLSX;NTA-2024-SHINKOKU-T5-XLSX,df23218947cf02235dbb526ab7a9315fd0475ed37e4aa064be7d06dbe23e99f8,172c4c315fb146cac0b3f7beaef65bedbac07634b0f79cae0ee12635980b6da2,4f74c500b213630eceeb0099939529b9a370378e8cfddbe6e5173dd128774088,SURVEY_ESTIMATED_POSITIVE_SELF_ASSESSED_BALANCE_TAX_FLOW_CELL,REPRODUCED_OFFICIAL_SURVEY_TAX_FLOW_DIAGNOSTIC,2024 NTA Sample Survey for Self-Assessment Income Tax: persons with positive self-assessed income tax,"The sample is already conditioned on positive self-assessed balance; it does not identify calculated-tax-positive persons outside that target, does not identify F71561 household-to-filer linkage, and amount-flow identities are not person-level transition observations."
8,500万円,4000000,5000000,False,other,他の区分に該当しない所得者,23391,11358,1049,10309,22511,0.96237869266,51,42,34,921,10363,0.443033645419,517,3783,85,6580,432,4440,75,10010,218,0.0211465709574,0.950888192268,D167;H167;I167;J167;K167;L167,E167;G167;I167;L167;M167;N167,D170;E170;F170;G170;H170;I170;J170;K170,NTA-2024-SHINKOKU-T1-XLSX;NTA-2024-SHINKOKU-T4-XLSX;NTA-2024-SHINKOKU-T5-XLSX,df23218947cf02235dbb526ab7a9315fd0475ed37e4aa064be7d06dbe23e99f8,172c4c315fb146cac0b3f7beaef65bedbac07634b0f79cae0ee12635980b6da2,4f74c500b213630eceeb0099939529b9a370378e8cfddbe6e5173dd128774088,SURVEY_ESTIMATED_POSITIVE_SELF_ASSESSED_BALANCE_TAX_FLOW_CELL,REPRODUCED_OFFICIAL_SURVEY_TAX_FLOW_DIAGNOSTIC,2024 NTA Sample Survey for Self-Assessment Income Tax: persons with positive self-assessed income tax,"The sample is already conditioned on positive self-assessed balance; it does not identify calculated-tax-positive persons outside that target, does not identify F71561 household-to-filer linkage, and amount-flow identities are not person-level transition observations."
9,600万円,5000000,6000000,False,business,事業所得者,102885,33647,7157,26490,102064,0.992020216747,17,1370,200,5569,21034,0.204441852554,1260,10722,340,10969,920,2336,59,25786,556,0.0209890524726,0.953412704282,D44;H44;I44;J44;K44;L44,E44;G44;I44;L44;M44;N44,D45;E45;F45;G45;H45;I45;J45;K45,NTA-2024-SHINKOKU-T1-XLSX;NTA-2024-SHINKOKU-T4-XLSX;NTA-2024-SHINKOKU-T5-XLSX,df23218947cf02235dbb526ab7a9315fd0475ed37e4aa064be7d06dbe23e99f8,172c4c315fb146cac0b3f7beaef65bedbac07634b0f79cae0ee12635980b6da2,4f74c500b213630eceeb0099939529b9a370378e8cfddbe6e5173dd128774088,SURVEY_ESTIMATED_POSITIVE_SELF_ASSESSED_BALANCE_TAX_FLOW_CELL,REPRODUCED_OFFICIAL_SURVEY_TAX_FLOW_DIAGNOSTIC,2024 NTA Sample Survey for Self-Assessment Income Tax: persons with positive self-assessed income tax,"The sample is already conditioned on positive self-assessed balance; it does not identify calculated-tax-positive persons outside that target, does not identify F71561 household-to-filer linkage, and amount-flow identities are not person-level transition observations."
9,600万円,5000000,6000000,False,real_estate,不動産所得者,79335,27049,3770,23279,78114,0.984609567026,105,198,97,3371,42147,0.531253545094,1722,17000,584,27246,1138,19198,369,22046,489,0.0210060569612,0.927549646584,D78;H78;I78;J78;K78;L78,E78;G78;I78;L78;M78;N78,D80;E80;F80;G80;H80;I80;J80;K80,NTA-2024-SHINKOKU-T1-XLSX;NTA-2024-SHINKOKU-T4-XLSX;NTA-2024-SHINKOKU-T5-XLSX,df23218947cf02235dbb526ab7a9315fd0475ed37e4aa064be7d06dbe23e99f8,172c4c315fb146cac0b3f7beaef65bedbac07634b0f79cae0ee12635980b6da2,4f74c500b213630eceeb0099939529b9a370378e8cfddbe6e5173dd128774088,SURVEY_ESTIMATED_POSITIVE_SELF_ASSESSED_BALANCE_TAX_FLOW_CELL,REPRODUCED_OFFICIAL_SURVEY_TAX_FLOW_DIAGNOSTIC,2024 NTA Sample Survey for Self-Assessment Income Tax: persons with positive self-assessed income tax,"The sample is already conditioned on positive self-assessed balance; it does not identify calculated-tax-positive persons outside that target, does not identify F71561 household-to-filer linkage, and amount-flow identities are not person-level transition observations."
9,600万円,5000000,6000000,False,salary,給与所得者,202813,63564,12731,50833,201026,0.991188927731,151,1882,154,10543,190102,0.937326502739,29658,188584,28945,44374,712,19692,396,22244,1069,0.021029646096,0.428576933452,D106;H106;I106;J106;K106;L106,E106;G106;I106;L106;M106;N106,D108;E108;F108;G108;H108;I108;J108;K108,NTA-2024-SHINKOKU-T1-XLSX;NTA-2024-SHINKOKU-T4-XLSX;NTA-2024-SHINKOKU-T5-XLSX,df23218947cf02235dbb526ab7a9315fd0475ed37e4aa064be7d06dbe23e99f8,172c4c315fb146cac0b3f7beaef65bedbac07634b0f79cae0ee12635980b6da2,4f74c500b213630eceeb0099939529b9a370378e8cfddbe6e5173dd128774088,SURVEY_ESTIMATED_POSITIVE_SELF_ASSESSED_BALANCE_TAX_FLOW_CELL,REPRODUCED_OFFICIAL_SURVEY_TAX_FLOW_DIAGNOSTIC,2024 NTA Sample Survey for Self-Assessment Income Tax: persons with positive self-assessed income tax,"The sample is already conditioned on positive self-assessed balance; it does not identify calculated-tax-positive persons outside that target, does not identify F71561 household-to-filer linkage, and amount-flow identities are not person-level transition observations."
9,600万円,5000000,6000000,False,miscellaneous,雑所得者,19374,7060,1030,6030,18982,0.979766697636,44,40,46,899,17300,0.892949313513,2627,6497,262,14688,2365,13326,1701,3529,126,0.0208955223881,0.57326185835,D140;H140;I140;J140;K140;L140,E140;G140;I140;L140;M140;N140,D143;E143;F143;G143;H143;I143;J143;K143,NTA-2024-SHINKOKU-T1-XLSX;NTA-2024-SHINKOKU-T4-XLSX;NTA-2024-SHINKOKU-T5-XLSX,df23218947cf02235dbb526ab7a9315fd0475ed37e4aa064be7d06dbe23e99f8,172c4c315fb146cac0b3f7beaef65bedbac07634b0f79cae0ee12635980b6da2,4f74c500b213630eceeb0099939529b9a370378e8cfddbe6e5173dd128774088,SURVEY_ESTIMATED_POSITIVE_SELF_ASSESSED_BALANCE_TAX_FLOW_CELL,REPRODUCED_OFFICIAL_SURVEY_TAX_FLOW_DIAGNOSTIC,2024 NTA Sample Survey for Self-Assessment Income Tax: persons with positive self-assessed income tax,"The sample is already conditioned on positive self-assessed balance; it does not identify calculated-tax-positive persons outside that target, does not identify F71561 household-to-filer linkage, and amount-flow identities are not person-level transition observations."
9,600万円,5000000,6000000,False,other,他の区分に該当しない所得者,20576,12803,990,11813,19820,0.963258164852,61,56,35,837,10097,0.490717340591,654,4206,119,5891,535,4061,92,11408,249,0.0210784728689,0.945780135964,D168;H168;I168;J168;K168;L168,E168;G168;I168;L168;M168;N168,D171;E171;F171;G171;H171;I171;J171;K171,NTA-2024-SHINKOKU-T1-XLSX;NTA-2024-SHINKOKU-T4-XLSX;NTA-2024-SHINKOKU-T5-XLSX,df23218947cf02235dbb526ab7a9315fd0475ed37e4aa064be7d06dbe23e99f8,172c4c315fb146cac0b3f7beaef65bedbac07634b0f79cae0ee12635980b6da2,4f74c500b213630eceeb0099939529b9a370378e8cfddbe6e5173dd128774088,SURVEY_ESTIMATED_POSITIVE_SELF_ASSESSED_BALANCE_TAX_FLOW_CELL,REPRODUCED_OFFICIAL_SURVEY_TAX_FLOW_DIAGNOSTIC,2024 NTA Sample Survey for Self-Assessment Income Tax: persons with positive self-assessed income tax,"The sample is already conditioned on positive self-assessed balance; it does not identify calculated-tax-positive persons outside that target, does not identify F71561 household-to-filer linkage, and amount-flow identities are not person-level transition observations."
10,700万円,6000000,7000000,False,business,事業所得者,72538,35112,6156,28956,72092,0.993851498525,21,1716,261,4158,16890,0.232843475144,1656,8502,338,9154,1318,1625,48,27909,609,0.0210319104849,0.94398782344,D45;H45;I45;J45;K45;L45,E45;G45;I45;L45;M45;N45,D46;E46;F46;G46;H46;I46;J46;K46,NTA-2024-SHINKOKU-T1-XLSX;NTA-2024-SHINKOKU-T4-XLSX;NTA-2024-SHINKOKU-T5-XLSX,df23218947cf02235dbb526ab7a9315fd0475ed37e4aa064be7d06dbe23e99f8,172c4c315fb146cac0b3f7beaef65bedbac07634b0f79cae0ee12635980b6da2,4f74c500b213630eceeb0099939529b9a370378e8cfddbe6e5173dd128774088,SURVEY_ESTIMATED_POSITIVE_SELF_ASSESSED_BALANCE_TAX_FLOW_CELL,REPRODUCED_OFFICIAL_SURVEY_TAX_FLOW_DIAGNOSTIC,2024 NTA Sample Survey for Self-Assessment Income Tax: persons with positive self-assessed income tax,"The sample is already conditioned on positive self-assessed balance; it does not identify calculated-tax-positive persons outside that target, does not identify F71561 household-to-filer linkage, and amount-flow identities are not person-level transition observations."
10,700万円,6000000,7000000,False,real_estate,不動産所得者,60129,30223,3118,27105,59356,0.987144306408,115,298,91,2615,34060,0.566448801743,1856,15339,721,21640,1136,14962,348,25818,569,0.0209924368198,0.932933439329,D79;H79;I79;J79;K79;L79,E79;G79;I79;L79;M79;N79,D81;E81;F81;G81;H81;I81;J81;K81,NTA-2024-SHINKOKU-T1-XLSX;NTA-2024-SHINKOKU-T4-XLSX;NTA-2024-SHINKOKU-T5-XLSX,df23218947cf02235dbb526ab7a9315fd0475ed37e4aa064be7d06dbe23e99f8,172c4c315fb146cac0b3f7beaef65bedbac07634b0f79cae0ee12635980b6da2,4f74c500b213630eceeb0099939529b9a370378e8cfddbe6e5173dd128774088,SURVEY_ESTIMATED_POSITIVE_SELF_ASSESSED_BALANCE_TAX_FLOW_CELL,REPRODUCED_OFFICIAL_SURVEY_TAX_FLOW_DIAGNOSTIC,2024 NTA Sample Survey for Self-Assessment Income Tax: persons with positive self-assessed income tax,"The sample is already conditioned on positive self-assessed balance; it does not identify calculated-tax-positive persons outside that target, does not identify F71561 household-to-filer linkage, and amount-flow identities are not person-level transition observations."
10,700万円,6000000,7000000,False,salary,給与所得者,156337,71263,12541,58722,154827,0.990341377921,181,3182,174,9004,148429,0.949416964634,36219,147671,35617,32943,601,8882,576,23737,1234,0.0210142706311,0.395906998466,D107;H107;I107;J107;K107;L107,E107;G107;I107;L107;M107;N107,D109;E109;F109;G109;H109;I109;J109;K109,NTA-2024-SHINKOKU-T1-XLSX;NTA-2024-SHINKOKU-T4-XLSX;NTA-2024-SHINKOKU-T5-XLSX,df23218947cf02235dbb526ab7a9315fd0475ed37e4aa064be7d06dbe23e99f8,172c4c315fb146cac0b3f7beaef65bedbac07634b0f79cae0ee12635980b6da2,4f74c500b213630eceeb0099939529b9a370378e8cfddbe6e5173dd128774088,SURVEY_ESTIMATED_POSITIVE_SELF_ASSESSED_BALANCE_TAX_FLOW_CELL,REPRODUCED_OFFICIAL_SURVEY_TAX_FLOW_DIAGNOSTIC,2024 NTA Sample Survey for Self-Assessment Income Tax: persons with positive self-assessed income tax,"The sample is already conditioned on positive self-assessed balance; it does not identify calculated-tax-positive persons outside that target, does not identify F71561 household-to-filer linkage, and amount-flow identities are not person-level transition observations."
10,700万円,6000000,7000000,False,miscellaneous,雑所得者,10998,5863,657,5206,10819,0.983724313512,44,50,44,518,9709,0.882796872159,2104,4024,218,7746,1886,6551,1081,3212,110,0.0211294660008,0.604213694507,D141;H141;I141;J141;K141;L141,E141;G141;I141;L141;M141;N141,D144;E144;F144;G144;H144;I144;J144;K144,NTA-2024-SHINKOKU-T1-XLSX;NTA-2024-SHINKOKU-T4-XLSX;NTA-2024-SHINKOKU-T5-XLSX,df23218947cf02235dbb526ab7a9315fd0475ed37e4aa064be7d06dbe23e99f8,172c4c315fb146cac0b3f7beaef65bedbac07634b0f79cae0ee12635980b6da2,4f74c500b213630eceeb0099939529b9a370378e8cfddbe6e5173dd128774088,SURVEY_ESTIMATED_POSITIVE_SELF_ASSESSED_BALANCE_TAX_FLOW_CELL,REPRODUCED_OFFICIAL_SURVEY_TAX_FLOW_DIAGNOSTIC,2024 NTA Sample Survey for Self-Assessment Income Tax: persons with positive self-assessed income tax,"The sample is already conditioned on positive self-assessed balance; it does not identify calculated-tax-positive persons outside that target, does not identify F71561 household-to-filer linkage, and amount-flow identities are not person-level transition observations."
10,700万円,6000000,7000000,False,other,他の区分に該当しない所得者,19107,14391,1001,13390,18404,0.963207201549,73,83,42,803,10044,0.525671219972,776,4886,171,5198,605,3505,100,12896,282,0.0210604929052,0.943241661791,D169;H169;I169;J169;K169;L169,E169;G169;I169;L169;M169;N169,D172;E172;F172;G172;H172;I172;J172;K172,NTA-2024-SHINKOKU-T1-XLSX;NTA-2024-SHINKOKU-T4-XLSX;NTA-2024-SHINKOKU-T5-XLSX,df23218947cf02235dbb526ab7a9315fd0475ed37e4aa064be7d06dbe23e99f8,172c4c315fb146cac0b3f7beaef65bedbac07634b0f79cae0ee12635980b6da2,4f74c500b213630eceeb0099939529b9a370378e8cfddbe6e5173dd128774088,SURVEY_ESTIMATED_POSITIVE_SELF_ASSESSED_BALANCE_TAX_FLOW_CELL,REPRODUCED_OFFICIAL_SURVEY_TAX_FLOW_DIAGNOSTIC,2024 NTA Sample Survey for Self-Assessment Income Tax: persons with positive self-assessed income tax,"The sample is already conditioned on positive self-assessed balance; it does not identify calculated-tax-positive persons outside that target, does not identify F71561 household-to-filer linkage, and amount-flow identities are not person-level transition observations."
11,800万円,7000000,8000000,False,business,事業所得者,50769,33214,4816,28398,50464,0.993992396935,21,1496,308,2991,14075,0.277236108649,2121,7026,334,8248,1787,1347,51,26874,597,0.0210226072259,0.926849456803,D46;H46;I46;J46;K46;L46,E46;G46;I46;L46;M46;N46,D47;E47;F47;G47;H47;I47;J47;K47,NTA-2024-SHINKOKU-T1-XLSX;NTA-2024-SHINKOKU-T4-XLSX;NTA-2024-SHINKOKU-T5-XLSX,df23218947cf02235dbb526ab7a9315fd0475ed37e4aa064be7d06dbe23e99f8,172c4c315fb146cac0b3f7beaef65bedbac07634b0f79cae0ee12635980b6da2,4f74c500b213630eceeb0099939529b9a370378e8cfddbe6e5173dd128774088,SURVEY_ESTIMATED_POSITIVE_SELF_ASSESSED_BALANCE_TAX_FLOW_CELL,REPRODUCED_OFFICIAL_SURVEY_TAX_FLOW_DIAGNOSTIC,2024 NTA Sample Survey for Self-Assessment Income Tax: persons with positive self-assessed income tax,"The sample is already conditioned on positive self-assessed balance; it does not identify calculated-tax-positive persons outside that target, does not identify F71561 household-to-filer linkage, and amount-flow identities are not person-level transition observations."
11,800万円,7000000,8000000,False,real_estate,不動産所得者,45986,31220,2537,28683,45461,0.988583481929,121,302,89,2026,27617,0.600552342017,1886,13598,811,16737,1075,11285,294,27400,603,0.0210229055538,0.935600628287,D80;H80;I80;J80;K80;L80,E80;G80;I80;L80;M80;N80,D82;E82;F82;G82;H82;I82;J82;K82,NTA-2024-SHINKOKU-T1-XLSX;NTA-2024-SHINKOKU-T4-XLSX;NTA-2024-SHINKOKU-T5-XLSX,df23218947cf02235dbb526ab7a9315fd0475ed37e4aa064be7d06dbe23e99f8,172c4c315fb146cac0b3f7beaef65bedbac07634b0f79cae0ee12635980b6da2,4f74c500b213630eceeb0099939529b9a370378e8cfddbe6e5173dd128774088,SURVEY_ESTIMATED_POSITIVE_SELF_ASSESSED_BALANCE_TAX_FLOW_CELL,REPRODUCED_OFFICIAL_SURVEY_TAX_FLOW_DIAGNOSTIC,2024 NTA Sample Survey for Self-Assessment Income Tax: persons with positive self-assessed income tax,"The sample is already conditioned on positive self-assessed balance; it does not identify calculated-tax-positive persons outside that target, does not identify F71561 household-to-filer linkage, and amount-flow identities are not person-level transition observations."
11,800万円,7000000,8000000,False,salary,給与所得者,119598,73284,10977,62307,118386,0.989866051272,192,3365,164,7257,115460,0.96540075921,40712,115265,40406,26135,306,5291,101,22904,1309,0.0210088754073,0.360035211268,D108;H108;I108;J108;K108;L108,E108;G108;I108;L108;M108;N108,D110;E110;F110;G110;H110;I110;J110;K110,NTA-2024-SHINKOKU-T1-XLSX;NTA-2024-SHINKOKU-T4-XLSX;NTA-2024-SHINKOKU-T5-XLSX,df23218947cf02235dbb526ab7a9315fd0475ed37e4aa064be7d06dbe23e99f8,172c4c315fb146cac0b3f7beaef65bedbac07634b0f79cae0ee12635980b6da2,4f74c500b213630eceeb0099939529b9a370378e8cfddbe6e5173dd128774088,SURVEY_ESTIMATED_POSITIVE_SELF_ASSESSED_BALANCE_TAX_FLOW_CELL,REPRODUCED_OFFICIAL_SURVEY_TAX_FLOW_DIAGNOSTIC,2024 NTA Sample Survey for Self-Assessment Income Tax: persons with positive self-assessed income tax,"The sample is already conditioned on positive self-assessed balance; it does not identify calculated-tax-positive persons outside that target, does not identify F71561 household-to-filer linkage, and amount-flow identities are not person-level transition observations."
11,800万円,7000000,8000000,False,miscellaneous,雑所得者,6285,4488,417,4071,6160,0.980111376293,38,41,40,298,5374,0.855051710422,1494,2487,183,3978,1312,3044,564,2662,85,0.0208793908131,0.64051973051,D142;H142;I142;J142;K142;L142,E142;G142;I142;L142;M142;N142,D145;E145;F145;G145;H145;I145;J145;K145,NTA-2024-SHINKOKU-T1-XLSX;NTA-2024-SHINKOKU-T4-XLSX;NTA-2024-SHINKOKU-T5-XLSX,df23218947cf02235dbb526ab7a9315fd0475ed37e4aa064be7d06dbe23e99f8,172c4c315fb146cac0b3f7beaef65bedbac07634b0f79cae0ee12635980b6da2,4f74c500b213630eceeb0099939529b9a370378e8cfddbe6e5173dd128774088,SURVEY_ESTIMATED_POSITIVE_SELF_ASSESSED_BALANCE_TAX_FLOW_CELL,REPRODUCED_OFFICIAL_SURVEY_TAX_FLOW_DIAGNOSTIC,2024 NTA Sample Survey for Self-Assessment Income Tax: persons with positive self-assessed income tax,"The sample is already conditioned on positive self-assessed balance; it does not identify calculated-tax-positive persons outside that target, does not identify F71561 household-to-filer linkage, and amount-flow identities are not person-level transition observations."
11,800万円,7000000,8000000,False,other,他の区分に該当しない所得者,16333,14383,916,13467,15695,0.960937978326,85,85,53,692,8978,0.549684687443,915,4405,207,4837,707,3214,100,12836,284,0.0210885869162,0.933459384772,D170;H170;I170;J170;K170;L170,E170;G170;I170;L170;M170;N170,D173;E173;F173;G173;H173;I173;J173;K173,NTA-2024-SHINKOKU-T1-XLSX;NTA-2024-SHINKOKU-T4-XLSX;NTA-2024-SHINKOKU-T5-XLSX,df23218947cf02235dbb526ab7a9315fd0475ed37e4aa064be7d06dbe23e99f8,172c4c315fb146cac0b3f7beaef65bedbac07634b0f79cae0ee12635980b6da2,4f74c500b213630eceeb0099939529b9a370378e8cfddbe6e5173dd128774088,SURVEY_ESTIMATED_POSITIVE_SELF_ASSESSED_BALANCE_TAX_FLOW_CELL,REPRODUCED_OFFICIAL_SURVEY_TAX_FLOW_DIAGNOSTIC,2024 NTA Sample Survey for Self-Assessment Income Tax: persons with positive self-assessed income tax,"The sample is already conditioned on positive self-assessed balance; it does not identify calculated-tax-positive persons outside that target, does not identify F71561 household-to-filer linkage, and amount-flow identities are not person-level transition observations."
12,"1,000万円",8000000,10000000,False,business,事業所得者,62406,57435,6393,51042,62070,0.994615902317,35,2012,625,3721,21028,0.336954779989,5184,10755,632,12955,4553,1701,73,46929,1071,0.0209827201128,0.900523861608,D47;H47;I47;J47;K47;L47,E47;G47;I47;L47;M47;N47,D48;E48;F48;G48;H48;I48;J48;K48,NTA-2024-SHINKOKU-T1-XLSX;NTA-2024-SHINKOKU-T4-XLSX;NTA-2024-SHINKOKU-T5-XLSX,df23218947cf02235dbb526ab7a9315fd0475ed37e4aa064be7d06dbe23e99f8,172c4c315fb146cac0b3f7beaef65bedbac07634b0f79cae0ee12635980b6da2,4f74c500b213630eceeb0099939529b9a370378e8cfddbe6e5173dd128774088,SURVEY_ESTIMATED_POSITIVE_SELF_ASSESSED_BALANCE_TAX_FLOW_CELL,REPRODUCED_OFFICIAL_SURVEY_TAX_FLOW_DIAGNOSTIC,2024 NTA Sample Survey for Self-Assessment Income Tax: persons with positive self-assessed income tax,"The sample is already conditioned on positive self-assessed balance; it does not identify calculated-tax-positive persons outside that target, does not identify F71561 household-to-filer linkage, and amount-flow identities are not person-level transition observations."
12,"1,000万円",8000000,10000000,False,real_estate,不動産所得者,62030,59514,3669,55845,61397,0.989795260358,230,525,160,2753,38717,0.624165726261,3650,20851,1738,23084,1911,15195,436,53368,1173,0.02100456621,0.935985127504,D81;H81;I81;J81;K81;L81,E81;G81;I81;L81;M81;N81,D83;E83;F83;G83;H83;I83;J83;K83,NTA-2024-SHINKOKU-T1-XLSX;NTA-2024-SHINKOKU-T4-XLSX;NTA-2024-SHINKOKU-T5-XLSX,df23218947cf02235dbb526ab7a9315fd0475ed37e4aa064be7d06dbe23e99f8,172c4c315fb146cac0b3f7beaef65bedbac07634b0f79cae0ee12635980b6da2,4f74c500b213630eceeb0099939529b9a370378e8cfddbe6e5173dd128774088,SURVEY_ESTIMATED_POSITIVE_SELF_ASSESSED_BALANCE_TAX_FLOW_CELL,REPRODUCED_OFFICIAL_SURVEY_TAX_FLOW_DIAGNOSTIC,2024 NTA Sample Survey for Self-Assessment Income Tax: persons with positive self-assessed income tax,"The sample is already conditioned on positive self-assessed balance; it does not identify calculated-tax-positive persons outside that target, does not identify F71561 household-to-filer linkage, and amount-flow identities are not person-level transition observations."
12,"1,000万円",8000000,10000000,False,salary,給与所得者,165535,143786,16341,127445,163743,0.98917449482,360,5434,345,10201,162615,0.982360225934,89054,162201,88671,39017,383,6374,121,41070,2679,0.021020832516,0.315622022071,D109;H109;I109;J109;K109;L109,E109;G109;I109;L109;M109;N109,D111;E111;F111;G111;H111;I111;J111;K111,NTA-2024-SHINKOKU-T1-XLSX;NTA-2024-SHINKOKU-T4-XLSX;NTA-2024-SHINKOKU-T5-XLSX,df23218947cf02235dbb526ab7a9315fd0475ed37e4aa064be7d06dbe23e99f8,172c4c315fb146cac0b3f7beaef65bedbac07634b0f79cae0ee12635980b6da2,4f74c500b213630eceeb0099939529b9a370378e8cfddbe6e5173dd128774088,SURVEY_ESTIMATED_POSITIVE_SELF_ASSESSED_BALANCE_TAX_FLOW_CELL,REPRODUCED_OFFICIAL_SURVEY_TAX_FLOW_DIAGNOSTIC,2024 NTA Sample Survey for Self-Assessment Income Tax: persons with positive self-assessed income tax,"The sample is already conditioned on positive self-assessed balance; it does not identify calculated-tax-positive persons outside that target, does not identify F71561 household-to-filer linkage, and amount-flow identities are not person-level transition observations."
