scenario_id,scenario_label,required_objective_count,bounded_required_objective_count,bounded_required_objectives,missing_required_objectives,pareto_classification,robustly_dominated_by,normative_weights_used,headline_optimum_claim_allowed
current_8_10,Current 8/10% VAT,8,1,year10_incremental_policy_debt_gdp,overall_real_gdp_level_effect;annual_real_growth_rate_effect;growth_decline_penalty;income_gini_effect;wealth_gini_effect;intergenerational_gap_effect;fgt2_effect,UNRESOLVED_NOT_ENOUGH_IDENTIFIED_OBJECTIVES,,false,false
full_abolition,Full VAT institutional abolition,8,0,,overall_real_gdp_level_effect;annual_real_growth_rate_effect;growth_decline_penalty;income_gini_effect;wealth_gini_effect;intergenerational_gap_effect;fgt2_effect;year10_incremental_policy_debt_gdp,UNRESOLVED_NOT_ENOUGH_IDENTIFIED_OBJECTIVES,,false,false
full_abolition_asset_tax,Full VAT abolition + wealth/asset taxation,8,1,year10_incremental_policy_debt_gdp,overall_real_gdp_level_effect;annual_real_growth_rate_effect;growth_decline_penalty;income_gini_effect;wealth_gini_effect;intergenerational_gap_effect;fgt2_effect,UNRESOLVED_NOT_ENOUGH_IDENTIFIED_OBJECTIVES,,false,false
full_abolition_income_tax,Full VAT abolition + income-tax reform,8,1,year10_incremental_policy_debt_gdp,overall_real_gdp_level_effect;annual_real_growth_rate_effect;growth_decline_penalty;income_gini_effect;wealth_gini_effect;intergenerational_gap_effect;fgt2_effect,UNRESOLVED_NOT_ENOUGH_IDENTIFIED_OBJECTIVES,,false,false
full_abolition_jgb,Full VAT abolition + JGB financing,8,1,year10_incremental_policy_debt_gdp,overall_real_gdp_level_effect;annual_real_growth_rate_effect;growth_decline_penalty;income_gini_effect;wealth_gini_effect;intergenerational_gap_effect;fgt2_effect,UNRESOLVED_NOT_ENOUGH_IDENTIFIED_OBJECTIVES,,false,false
full_abolition_mixed,Full VAT abolition + mixed financing,8,1,year10_incremental_policy_debt_gdp,overall_real_gdp_level_effect;annual_real_growth_rate_effect;growth_decline_penalty;income_gini_effect;wealth_gini_effect;intergenerational_gap_effect;fgt2_effect,UNRESOLVED_NOT_ENOUGH_IDENTIFIED_OBJECTIVES,,false,false
reduced_5,5% VAT with administration retained,8,0,,overall_real_gdp_level_effect;annual_real_growth_rate_effect;growth_decline_penalty;income_gini_effect;wealth_gini_effect;intergenerational_gap_effect;fgt2_effect;year10_incremental_policy_debt_gdp,UNRESOLVED_NOT_ENOUGH_IDENTIFIED_OBJECTIVES,,false,false
zero_rate_admin_retained,0% VAT with administration retained,8,0,,overall_real_gdp_level_effect;annual_real_growth_rate_effect;growth_decline_penalty;income_gini_effect;wealth_gini_effect;intergenerational_gap_effect;fgt2_effect;year10_incremental_policy_debt_gdp,UNRESOLVED_NOT_ENOUGH_IDENTIFIED_OBJECTIVES,,false,false
