decile,decile_code,decile_label,reported_item,income_component_code,income_component_label,unit,raw_value,numeric_value,missing_marker,source_cell,source_row,source_column,source_id,source_stat_inf_id,source_file,source_sha256
5,R05,R05_十分位5,等価年間収入額,21,現金収入,千円,3505,3505,,AG10,10,AG,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
6,R06,R06_十分位6,等価年間収入額,21,現金収入,千円,4005,4005,,AH10,10,AH,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
7,R07,R07_十分位7,等価年間収入額,21,現金収入,千円,4594,4594,,AI10,10,AI,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
8,R08,R08_十分位8,等価年間収入額,21,現金収入,千円,5290,5290,,AJ10,10,AJ,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
9,R09,R09_十分位9,等価年間収入額,21,現金収入,千円,6374,6374,,AK10,10,AK,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
10,R10,R10_十分位10,等価年間収入額,21,現金収入,千円,10049,10049,,AL10,10,AL,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
1,R01,R01_十分位1,等価年間収入額,211,勤め先収入,千円,348,348,,AC11,11,AC,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
2,R02,R02_十分位2,等価年間収入額,211,勤め先収入,千円,860,860,,AD11,11,AD,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
3,R03,R03_十分位3,等価年間収入額,211,勤め先収入,千円,1323,1323,,AE11,11,AE,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
4,R04,R04_十分位4,等価年間収入額,211,勤め先収入,千円,1823,1823,,AF11,11,AF,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
5,R05,R05_十分位5,等価年間収入額,211,勤め先収入,千円,2419,2419,,AG11,11,AG,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
6,R06,R06_十分位6,等価年間収入額,211,勤め先収入,千円,2943,2943,,AH11,11,AH,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
7,R07,R07_十分位7,等価年間収入額,211,勤め先収入,千円,3572,3572,,AI11,11,AI,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
8,R08,R08_十分位8,等価年間収入額,211,勤め先収入,千円,4155,4155,,AJ11,11,AJ,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
9,R09,R09_十分位9,等価年間収入額,211,勤め先収入,千円,5121,5121,,AK11,11,AK,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
10,R10,R10_十分位10,等価年間収入額,211,勤め先収入,千円,7344,7344,,AL11,11,AL,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
1,R01,R01_十分位1,等価年間収入額,21101,世帯主収入,千円,269,269,,AC12,12,AC,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
2,R02,R02_十分位2,等価年間収入額,21101,世帯主収入,千円,686,686,,AD12,12,AD,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
3,R03,R03_十分位3,等価年間収入額,21101,世帯主収入,千円,1029,1029,,AE12,12,AE,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
4,R04,R04_十分位4,等価年間収入額,21101,世帯主収入,千円,1406,1406,,AF12,12,AF,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
5,R05,R05_十分位5,等価年間収入額,21101,世帯主収入,千円,1836,1836,,AG12,12,AG,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
6,R06,R06_十分位6,等価年間収入額,21101,世帯主収入,千円,2209,2209,,AH12,12,AH,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
7,R07,R07_十分位7,等価年間収入額,21101,世帯主収入,千円,2620,2620,,AI12,12,AI,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
8,R08,R08_十分位8,等価年間収入額,21101,世帯主収入,千円,2918,2918,,AJ12,12,AJ,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
9,R09,R09_十分位9,等価年間収入額,21101,世帯主収入,千円,3497,3497,,AK12,12,AK,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
10,R10,R10_十分位10,等価年間収入額,21101,世帯主収入,千円,5010,5010,,AL12,12,AL,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
1,R01,R01_十分位1,等価年間収入額,21102,世帯主の配偶者の収入,千円,45,45,,AC13,13,AC,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
2,R02,R02_十分位2,等価年間収入額,21102,世帯主の配偶者の収入,千円,99,99,,AD13,13,AD,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
3,R03,R03_十分位3,等価年間収入額,21102,世帯主の配偶者の収入,千円,168,168,,AE13,13,AE,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
4,R04,R04_十分位4,等価年間収入額,21102,世帯主の配偶者の収入,千円,242,242,,AF13,13,AF,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
5,R05,R05_十分位5,等価年間収入額,21102,世帯主の配偶者の収入,千円,332,332,,AG13,13,AG,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
6,R06,R06_十分位6,等価年間収入額,21102,世帯主の配偶者の収入,千円,395,395,,AH13,13,AH,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
7,R07,R07_十分位7,等価年間収入額,21102,世帯主の配偶者の収入,千円,547,547,,AI13,13,AI,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
8,R08,R08_十分位8,等価年間収入額,21102,世帯主の配偶者の収入,千円,705,705,,AJ13,13,AJ,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
9,R09,R09_十分位9,等価年間収入額,21102,世帯主の配偶者の収入,千円,980,980,,AK13,13,AK,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
