decile,decile_code,decile_label,asset_class,reported_item,income_component_code,income_component_label,unit,household_type_code,household_type,household_type_label,raw_value,numeric_value,missing_marker,source_cell,source_row,source_column,source_id,source_stat_inf_id,source_file,source_sha256
1,R01,R01_十分位1,00_平均,集計世帯数（概数）,0,総数,,022,022_２人以上の世帯,２人以上の世帯,2990,2990,,AE34064,34064,AE,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,集計世帯数（概数）,0,総数,,0221,0221_有業者なし,有業者なし,2250,2250,,AF34064,34064,AF,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,集計世帯数（概数）,0,総数,,0222,0222_有業者１人以上,有業者１人以上,730,730,,AG34064,34064,AG,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,集計世帯数（概数）,0,総数,,R1,R1_（再掲）世帯主が66歳未満,（再掲）世帯主が66歳未満,3240,3240,,AH34064,34064,AH,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,集計世帯数（概数）,0,総数,,R11,R11_単身世帯,単身世帯,1170,1170,,AI34064,34064,AI,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,集計世帯数（概数）,0,総数,,R111,R111_無業,無業,510,510,,AJ34064,34064,AJ,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,集計世帯数（概数）,0,総数,,R112,R112_有業,有業,660,660,,AK34064,34064,AK,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,集計世帯数（概数）,0,総数,,R12,R12_大人１人と子供の世帯,大人１人と子供の世帯,360,360,,AL34064,34064,AL,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,集計世帯数（概数）,0,総数,,R121,R121_無業,無業,60,60,,AM34064,34064,AM,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,集計世帯数（概数）,0,総数,,R122,R122_有業,有業,300,300,,AN34064,34064,AN,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
