tax_year,sheet,employment_duration_group,secondary_payroll_otsuran_excluded,salary_class_index,salary_class_label,salary_lower_bound_yen_exclusive,salary_upper_bound_yen_inclusive,salary_class_topcoded,year_end_adjusted_taxpayer_persons,year_end_adjusted_nontaxpayer_persons,year_end_adjusted_total_persons,not_year_end_adjusted_taxpayer_persons,not_year_end_adjusted_nontaxpayer_persons,not_year_end_adjusted_total_persons,all_taxpayer_persons,all_nontaxpayer_persons,all_total_persons,year_end_adjusted_taxpayer_rate,all_taxpayer_rate,year_end_adjusted_tax_million_yen,not_year_end_adjusted_tax_million_yen,all_tax_million_yen,person_source_cells,tax_source_cells,taxpayer_definition,survey_population,cross_system_status,year_end_adjusted_direction_note,source_id_xlsx,source_file_xlsx,source_sha256_xlsx,source_id_methodology,source_file_methodology,source_sha256_methodology,evidence_status,identification_warning
2024,その１,full_year,False,11,"1,500 〃",10000000,15000000,False,2207754,2347,2210100,95720,0,95720,2303474,2347,2305820,0.99893850957,0.998982574529,2198010,203002,2401011,D17:L17,D49;G49;J49,Private Salary Survey: salary earner with positive source-withheld income tax,Private-sector salary earners employed at sampled source-withholding obligors at year-end; tax status not required for inclusion,EXTERNAL_WAGE_SIDE_DIAGNOSTIC_NO_ADDITIVE_JOIN_TO_SELF_ASSESSED_RETURNS,"Positive post-year-end-adjustment withholding is an annual payroll-tax-positive diagnostic under payroll information. Later final-return deductions, credits or loss offsets can change final calculated/self-assessed tax, so this is not a strict final calculated-tax-positive subset.",NTA-MINKAN-2024-T16,data/raw/nta/nta_minkan2024_table16_taxpayer_nontaxpayer.xlsx,11b941a52dff3681f0e19415ba095746cd0ed24e54dd6b159521e2145b13c1e6,NTA-MINKAN-METHODOLOGY,data/raw/nta/nta_private_salary_survey_methodology.html,4ce6d9a50704b9035fa3e4f0522e519a63ad6f90acde54096326c536212319e8,REPRODUCED_OFFICIAL_PRIVATE_SALARY_TAXPAYER_STATUS_DIAGNOSTIC,Do not add these taxpayer counts to positive-self-assessed-balance counts; cross-source person overlap is not identified. Non-year-end-adjusted positive withholding can later be refunded and is not treated as a strict annual calculated-tax-positive subset.
2024,その１,full_year,False,12,"2,000 〃",15000000,20000000,False,478314,0,478314,98079,0,98079,576392,0,576392,1,1,1216097,359918,1576015,D18:L18,D50;G50;J50,Private Salary Survey: salary earner with positive source-withheld income tax,Private-sector salary earners employed at sampled source-withholding obligors at year-end; tax status not required for inclusion,EXTERNAL_WAGE_SIDE_DIAGNOSTIC_NO_ADDITIVE_JOIN_TO_SELF_ASSESSED_RETURNS,"Positive post-year-end-adjustment withholding is an annual payroll-tax-positive diagnostic under payroll information. Later final-return deductions, credits or loss offsets can change final calculated/self-assessed tax, so this is not a strict final calculated-tax-positive subset.",NTA-MINKAN-2024-T16,data/raw/nta/nta_minkan2024_table16_taxpayer_nontaxpayer.xlsx,11b941a52dff3681f0e19415ba095746cd0ed24e54dd6b159521e2145b13c1e6,NTA-MINKAN-METHODOLOGY,data/raw/nta/nta_private_salary_survey_methodology.html,4ce6d9a50704b9035fa3e4f0522e519a63ad6f90acde54096326c536212319e8,REPRODUCED_OFFICIAL_PRIVATE_SALARY_TAXPAYER_STATUS_DIAGNOSTIC,Do not add these taxpayer counts to positive-self-assessed-balance counts; cross-source person overlap is not identified. Non-year-end-adjusted positive withholding can later be refunded and is not treated as a strict annual calculated-tax-positive subset.
2024,その１,full_year,False,13,"2,500 〃",20000000,25000000,False,0,0,0,146596,0,146596,146596,0,146596,,1,0,675228,675228,D19:L19,D51;G51;J51,Private Salary Survey: salary earner with positive source-withheld income tax,Private-sector salary earners employed at sampled source-withholding obligors at year-end; tax status not required for inclusion,EXTERNAL_WAGE_SIDE_DIAGNOSTIC_NO_ADDITIVE_JOIN_TO_SELF_ASSESSED_RETURNS,"Positive post-year-end-adjustment withholding is an annual payroll-tax-positive diagnostic under payroll information. Later final-return deductions, credits or loss offsets can change final calculated/self-assessed tax, so this is not a strict final calculated-tax-positive subset.",NTA-MINKAN-2024-T16,data/raw/nta/nta_minkan2024_table16_taxpayer_nontaxpayer.xlsx,11b941a52dff3681f0e19415ba095746cd0ed24e54dd6b159521e2145b13c1e6,NTA-MINKAN-METHODOLOGY,data/raw/nta/nta_private_salary_survey_methodology.html,4ce6d9a50704b9035fa3e4f0522e519a63ad6f90acde54096326c536212319e8,REPRODUCED_OFFICIAL_PRIVATE_SALARY_TAXPAYER_STATUS_DIAGNOSTIC,Do not add these taxpayer counts to positive-self-assessed-balance counts; cross-source person overlap is not identified. Non-year-end-adjusted positive withholding can later be refunded and is not treated as a strict annual calculated-tax-positive subset.
2024,その１,full_year,False,14,"2,500万円超",25000000,,True,0,0,0,174387,0,174387,174387,0,174387,,1,0,2183156,2183156,D20:L20,D52;G52;J52,Private Salary Survey: salary earner with positive source-withheld income tax,Private-sector salary earners employed at sampled source-withholding obligors at year-end; tax status not required for inclusion,EXTERNAL_WAGE_SIDE_DIAGNOSTIC_NO_ADDITIVE_JOIN_TO_SELF_ASSESSED_RETURNS,"Positive post-year-end-adjustment withholding is an annual payroll-tax-positive diagnostic under payroll information. Later final-return deductions, credits or loss offsets can change final calculated/self-assessed tax, so this is not a strict final calculated-tax-positive subset.",NTA-MINKAN-2024-T16,data/raw/nta/nta_minkan2024_table16_taxpayer_nontaxpayer.xlsx,11b941a52dff3681f0e19415ba095746cd0ed24e54dd6b159521e2145b13c1e6,NTA-MINKAN-METHODOLOGY,data/raw/nta/nta_private_salary_survey_methodology.html,4ce6d9a50704b9035fa3e4f0522e519a63ad6f90acde54096326c536212319e8,REPRODUCED_OFFICIAL_PRIVATE_SALARY_TAXPAYER_STATUS_DIAGNOSTIC,Do not add these taxpayer counts to positive-self-assessed-balance counts; cross-source person overlap is not identified. Non-year-end-adjusted positive withholding can later be refunded and is not treated as a strict annual calculated-tax-positive subset.
2024,その２,less_than_year,False,1,100万円以下,,1000000,False,0,2764929,2764929,2568023,942535,3510558,2568023,3707465,6275488,0,0.409214869027,0,27043,27043,D7:L7,D39;G39;J39,Private Salary Survey: salary earner with positive source-withheld income tax,Private-sector salary earners employed at sampled source-withholding obligors at year-end; tax status not required for inclusion,EXTERNAL_WAGE_SIDE_DIAGNOSTIC_NO_ADDITIVE_JOIN_TO_SELF_ASSESSED_RETURNS,"Positive post-year-end-adjustment withholding is an annual payroll-tax-positive diagnostic under payroll information. Later final-return deductions, credits or loss offsets can change final calculated/self-assessed tax, so this is not a strict final calculated-tax-positive subset.",NTA-MINKAN-2024-T16,data/raw/nta/nta_minkan2024_table16_taxpayer_nontaxpayer.xlsx,11b941a52dff3681f0e19415ba095746cd0ed24e54dd6b159521e2145b13c1e6,NTA-MINKAN-METHODOLOGY,data/raw/nta/nta_private_salary_survey_methodology.html,4ce6d9a50704b9035fa3e4f0522e519a63ad6f90acde54096326c536212319e8,REPRODUCED_OFFICIAL_PRIVATE_SALARY_TAXPAYER_STATUS_DIAGNOSTIC,Do not add these taxpayer counts to positive-self-assessed-balance counts; cross-source person overlap is not identified. Non-year-end-adjusted positive withholding can later be refunded and is not treated as a strict annual calculated-tax-positive subset.
2024,その２,less_than_year,False,2,200 〃,1000000,2000000,False,111025,668625,779649,150737,26922,177658,261761,695547,957308,0.142403825311,0.273434464143,1573,8626,10199,D8:L8,D40;G40;J40,Private Salary Survey: salary earner with positive source-withheld income tax,Private-sector salary earners employed at sampled source-withholding obligors at year-end; tax status not required for inclusion,EXTERNAL_WAGE_SIDE_DIAGNOSTIC_NO_ADDITIVE_JOIN_TO_SELF_ASSESSED_RETURNS,"Positive post-year-end-adjustment withholding is an annual payroll-tax-positive diagnostic under payroll information. Later final-return deductions, credits or loss offsets can change final calculated/self-assessed tax, so this is not a strict final calculated-tax-positive subset.",NTA-MINKAN-2024-T16,data/raw/nta/nta_minkan2024_table16_taxpayer_nontaxpayer.xlsx,11b941a52dff3681f0e19415ba095746cd0ed24e54dd6b159521e2145b13c1e6,NTA-MINKAN-METHODOLOGY,data/raw/nta/nta_private_salary_survey_methodology.html,4ce6d9a50704b9035fa3e4f0522e519a63ad6f90acde54096326c536212319e8,REPRODUCED_OFFICIAL_PRIVATE_SALARY_TAXPAYER_STATUS_DIAGNOSTIC,Do not add these taxpayer counts to positive-self-assessed-balance counts; cross-source person overlap is not identified. Non-year-end-adjusted positive withholding can later be refunded and is not treated as a strict annual calculated-tax-positive subset.
2024,その２,less_than_year,False,3,300 〃,2000000,3000000,False,763847,221518,985365,73058,165,73223,836905,221683,1058588,0.775191933953,0.790586139272,11496,6313,17809,D9:L9,D41;G41;J41,Private Salary Survey: salary earner with positive source-withheld income tax,Private-sector salary earners employed at sampled source-withholding obligors at year-end; tax status not required for inclusion,EXTERNAL_WAGE_SIDE_DIAGNOSTIC_NO_ADDITIVE_JOIN_TO_SELF_ASSESSED_RETURNS,"Positive post-year-end-adjustment withholding is an annual payroll-tax-positive diagnostic under payroll information. Later final-return deductions, credits or loss offsets can change final calculated/self-assessed tax, so this is not a strict final calculated-tax-positive subset.",NTA-MINKAN-2024-T16,data/raw/nta/nta_minkan2024_table16_taxpayer_nontaxpayer.xlsx,11b941a52dff3681f0e19415ba095746cd0ed24e54dd6b159521e2145b13c1e6,NTA-MINKAN-METHODOLOGY,data/raw/nta/nta_private_salary_survey_methodology.html,4ce6d9a50704b9035fa3e4f0522e519a63ad6f90acde54096326c536212319e8,REPRODUCED_OFFICIAL_PRIVATE_SALARY_TAXPAYER_STATUS_DIAGNOSTIC,Do not add these taxpayer counts to positive-self-assessed-balance counts; cross-source person overlap is not identified. Non-year-end-adjusted positive withholding can later be refunded and is not treated as a strict annual calculated-tax-positive subset.
2024,その２,less_than_year,False,4,400 〃,3000000,4000000,False,462067,84608,546675,26422,0,26422,488489,84608,573097,0.845231627567,0.852367051302,18080,5725,23805,D10:L10,D42;G42;J42,Private Salary Survey: salary earner with positive source-withheld income tax,Private-sector salary earners employed at sampled source-withholding obligors at year-end; tax status not required for inclusion,EXTERNAL_WAGE_SIDE_DIAGNOSTIC_NO_ADDITIVE_JOIN_TO_SELF_ASSESSED_RETURNS,"Positive post-year-end-adjustment withholding is an annual payroll-tax-positive diagnostic under payroll information. Later final-return deductions, credits or loss offsets can change final calculated/self-assessed tax, so this is not a strict final calculated-tax-positive subset.",NTA-MINKAN-2024-T16,data/raw/nta/nta_minkan2024_table16_taxpayer_nontaxpayer.xlsx,11b941a52dff3681f0e19415ba095746cd0ed24e54dd6b159521e2145b13c1e6,NTA-MINKAN-METHODOLOGY,data/raw/nta/nta_private_salary_survey_methodology.html,4ce6d9a50704b9035fa3e4f0522e519a63ad6f90acde54096326c536212319e8,REPRODUCED_OFFICIAL_PRIVATE_SALARY_TAXPAYER_STATUS_DIAGNOSTIC,Do not add these taxpayer counts to positive-self-assessed-balance counts; cross-source person overlap is not identified. Non-year-end-adjusted positive withholding can later be refunded and is not treated as a strict annual calculated-tax-positive subset.
2024,その２,less_than_year,False,5,500 〃,4000000,5000000,False,178185,55482,233667,7748,0,7748,185933,55482,241415,0.762559539858,0.770179980531,12613,3091,15704,D11:L11,D43;G43;J43,Private Salary Survey: salary earner with positive source-withheld income tax,Private-sector salary earners employed at sampled source-withholding obligors at year-end; tax status not required for inclusion,EXTERNAL_WAGE_SIDE_DIAGNOSTIC_NO_ADDITIVE_JOIN_TO_SELF_ASSESSED_RETURNS,"Positive post-year-end-adjustment withholding is an annual payroll-tax-positive diagnostic under payroll information. Later final-return deductions, credits or loss offsets can change final calculated/self-assessed tax, so this is not a strict final calculated-tax-positive subset.",NTA-MINKAN-2024-T16,data/raw/nta/nta_minkan2024_table16_taxpayer_nontaxpayer.xlsx,11b941a52dff3681f0e19415ba095746cd0ed24e54dd6b159521e2145b13c1e6,NTA-MINKAN-METHODOLOGY,data/raw/nta/nta_private_salary_survey_methodology.html,4ce6d9a50704b9035fa3e4f0522e519a63ad6f90acde54096326c536212319e8,REPRODUCED_OFFICIAL_PRIVATE_SALARY_TAXPAYER_STATUS_DIAGNOSTIC,Do not add these taxpayer counts to positive-self-assessed-balance counts; cross-source person overlap is not identified. Non-year-end-adjusted positive withholding can later be refunded and is not treated as a strict annual calculated-tax-positive subset.
2024,その２,less_than_year,False,6,600 〃,5000000,6000000,False,93354,22676,116030,3034,0,3034,96387,22676,119063,0.804567784194,0.80954620663,10977,3152,14129,D12:L12,D44;G44;J44,Private Salary Survey: salary earner with positive source-withheld income tax,Private-sector salary earners employed at sampled source-withholding obligors at year-end; tax status not required for inclusion,EXTERNAL_WAGE_SIDE_DIAGNOSTIC_NO_ADDITIVE_JOIN_TO_SELF_ASSESSED_RETURNS,"Positive post-year-end-adjustment withholding is an annual payroll-tax-positive diagnostic under payroll information. Later final-return deductions, credits or loss offsets can change final calculated/self-assessed tax, so this is not a strict final calculated-tax-positive subset.",NTA-MINKAN-2024-T16,data/raw/nta/nta_minkan2024_table16_taxpayer_nontaxpayer.xlsx,11b941a52dff3681f0e19415ba095746cd0ed24e54dd6b159521e2145b13c1e6,NTA-MINKAN-METHODOLOGY,data/raw/nta/nta_private_salary_survey_methodology.html,4ce6d9a50704b9035fa3e4f0522e519a63ad6f90acde54096326c536212319e8,REPRODUCED_OFFICIAL_PRIVATE_SALARY_TAXPAYER_STATUS_DIAGNOSTIC,Do not add these taxpayer counts to positive-self-assessed-balance counts; cross-source person overlap is not identified. Non-year-end-adjusted positive withholding can later be refunded and is not treated as a strict annual calculated-tax-positive subset.
